"","symbol","correlation","pvalue","t-test","group"
"1","AAAS",0.0849284907075143,0.00334179553704796,2.94034853643624,"CNV-Phosphoproteome"
"2","AAK1",0.0741957678824134,0.00529674080658747,2.79275817052406,"CNV-Phosphoproteome"
"3","AATF",0.071480084265581,0.0197663483271429,2.33429147798596,"CNV-Phosphoproteome"
"4","ABCA2",0.116978061286364,0.000132074107440382,3.83666643663369,"CNV-Phosphoproteome"
"5","ABCC3",0.112991735911532,0.000518964545046271,3.48287828156355,"CNV-Phosphoproteome"
"6","ABCC4",0.0605687121874973,0.0307030772274848,2.16331219999249,"CNV-Phosphoproteome"
"7","ABCF1",0.210173303606739,3.65952148001062e-17,8.52071333993328,"CNV-Phosphoproteome"
"8","ABI1",0.153626290307261,2.42395568608744e-09,6.00330917659446,"CNV-Phosphoproteome"
"9","ABI2",0.0948100639648516,0.000211112401720905,3.71432411299864,"CNV-Phosphoproteome"
"10","ABL1",0.131867725881512,8.52962473103813e-07,4.94540369318601,"CNV-Phosphoproteome"
"11","ABL2",0.177999573031453,4.07351496245882e-11,6.65609795498121,"CNV-Phosphoproteome"
"12","ABLIM1",0.123444636748219,1.52335032819148e-06,4.82746572162332,"CNV-Phosphoproteome"
"13","ABLIM2",0.0299236062214716,0.324078281368675,0.986559695996059,"CNV-Phosphoproteome"
"14","ABLIM3",0.0781990206947222,0.00574862753619078,2.76658141646182,"CNV-Phosphoproteome"
"15","ABR",0.0117931788356301,0.690034526071854,0.398909243010559,"CNV-Phosphoproteome"
"16","ABRAXAS1",0.0217412539242781,0.5419962438182,0.610062907795638,"CNV-Phosphoproteome"
"17","ABRAXAS2",0.0491788960868101,0.125083770465892,1.53510373726344,"CNV-Phosphoproteome"
"18","ACACA",0.145792041274638,2.33061696593291e-07,5.19976582125002,"CNV-Phosphoproteome"
"19","ACAP2",0.153140428399363,1.04205480034944e-08,5.75890477557098,"CNV-Phosphoproteome"
"20","ACBD3",0.144424625501797,1.98724145347484e-06,4.78099595089831,"CNV-Phosphoproteome"
"21","ACBD5",0.0867111041612152,0.00330625423398088,2.94392395619073,"CNV-Phosphoproteome"
"22","ACIN1",0.170506083141067,5.37665758525144e-12,6.94750641394411,"CNV-Phosphoproteome"
"23","ACLY",0.189982680419472,6.10825358986856e-14,7.57648234281459,"CNV-Phosphoproteome"
"24","ACSS2",0.130985019889781,2.64018767532166e-05,4.22174933505995,"CNV-Phosphoproteome"
"25","ACTB",-0.033667260620988,0.340982200457927,-0.952794073294194,"CNV-Phosphoproteome"
"26","ACTL6A",0.239972880465703,4.52421532922037e-19,9.05898483948184,"CNV-Phosphoproteome"
"27","ACTN1",0.00491541252672411,0.853999715029917,0.184051442410553,"CNV-Phosphoproteome"
"28","ACTN4",0.0471808316197359,0.0780315219979825,1.76352204815619,"CNV-Phosphoproteome"
"29","ACTR2",-0.0523665108217759,0.0733696768127252,-1.79213759123133,"CNV-Phosphoproteome"
"30","ADAM10",-0.0180940612174333,0.533079502585682,-0.623494345760484,"CNV-Phosphoproteome"
"31","ADAM17",0.00382730876968217,0.888847400034989,0.13978951437833,"CNV-Phosphoproteome"
"32","ADAM9",0.155997545865423,5.76679635062659e-09,5.86049669685856,"CNV-Phosphoproteome"
"33","ADAR",0.172168751577538,1.71581991954447e-11,6.78042010003599,"CNV-Phosphoproteome"
"34","ADAT1",0.187890725638158,1.81567059965362e-11,6.78230789725251,"CNV-Phosphoproteome"
"35","ADCY6",0.0435207375544653,0.114971965836034,1.57728172482833,"CNV-Phosphoproteome"
"36","ADCY9",0.0832345800184658,0.00615347568641947,2.74489224840742,"CNV-Phosphoproteome"
"37","ADD1",0.0360943807845218,0.154440625335169,1.42471329434569,"CNV-Phosphoproteome"
"38","ADD2",0.0634820281739519,0.0137395834752353,2.46690017667966,"CNV-Phosphoproteome"
"39","ADD3",0.0779628820725436,0.00236831566995141,3.04481829434588,"CNV-Phosphoproteome"
"40","ADGRA2",0.00229105976163117,0.94019074428743,0.0750477054745753,"CNV-Phosphoproteome"
"41","ADGRL2",0.0737313667166862,0.0331487484203197,2.13382346215346,"CNV-Phosphoproteome"
"42","ADH5",0.0650712508596738,0.0299503677921482,2.17353979671254,"CNV-Phosphoproteome"
"43","ADNP",0.192327807182076,5.67519145914204e-14,7.58800301400444,"CNV-Phosphoproteome"
"44","ADRM1",0.0134237233381391,0.694071967563909,0.393467356375663,"CNV-Phosphoproteome"
"45","AFAP1",0.0367271057155344,0.16466263709049,1.39027151698202,"CNV-Phosphoproteome"
"46","AFAP1L1",0.0164706148953192,0.529168223489344,0.629426693077746,"CNV-Phosphoproteome"
"47","AFAP1L2",0.0286009104699874,0.29135251327476,1.05556898908906,"CNV-Phosphoproteome"
"48","AFF1",0.0568790475134334,0.0382920017209725,2.07378588213334,"CNV-Phosphoproteome"
"49","AFF4",0.14098702469655,1.01798264048757e-07,5.35126279379762,"CNV-Phosphoproteome"
"50","AFTPH",0.106484739573621,4.29796310074129e-05,4.10323791859595,"CNV-Phosphoproteome"
"51","AGAP1",0.139995654194801,3.90749984540169e-08,5.52318894385179,"CNV-Phosphoproteome"
"52","AGAP2",-0.0704415434068015,0.0139744750736621,-2.46148487256593,"CNV-Phosphoproteome"
"53","AGAP3",0.100930104137479,0.000215044743303851,3.71083954717145,"CNV-Phosphoproteome"
"54","AGFG1",0.117306566712774,1.01179635686694e-05,4.43076023574039,"CNV-Phosphoproteome"
"55","AHCTF1",0.122635339065862,4.64039872901306e-06,4.5986578623263,"CNV-Phosphoproteome"
"56","AHDC1",0.136054602316751,2.70773792639258e-07,5.16775735165073,"CNV-Phosphoproteome"
"57","AHNAK",-0.0392596900707938,0.114880928532462,-1.57748172922224,"CNV-Phosphoproteome"
"58","AHNAK2",0.0775166712581191,0.00255089450755269,3.02228965609404,"CNV-Phosphoproteome"
"59","AHSG",-0.0927029321247137,0.000290290065299367,-3.63224378290492,"CNV-Phosphoproteome"
"60","AIDA",0.100663929786926,0.000653902572392813,3.41765586144428,"CNV-Phosphoproteome"
"61","AIMP1",0.0460036835915113,0.186283182344992,1.32275565278335,"CNV-Phosphoproteome"
"62","AJUBA",0.162958857678359,1.79294017446922e-09,6.05736209985144,"CNV-Phosphoproteome"
"63","AKAP1",0.201488707962399,1.07478562335382e-13,7.51044048386283,"CNV-Phosphoproteome"
"64","AKAP10",0.121637285326018,8.92679348057084e-06,4.459103436776,"CNV-Phosphoproteome"
"65","AKAP11",0.0701845956076915,0.00890555889126385,2.61936307441034,"CNV-Phosphoproteome"
