"","symbol","correlation","pvalue","t-test","group"
"1","AAAS",0.166749662427057,1.57124345339271e-11,6.79001745997687,"CNV-mRNA"
"2","AAK1",0.134597312580306,5.70137974240235e-08,5.45367071602602,"CNV-mRNA"
"3","AATF",0.302054597572244,2.12170731746925e-35,12.7216266577486,"CNV-mRNA"
"4","ABCA2",0.105672752937201,2.09995813969383e-05,4.26662039909724,"CNV-mRNA"
"5","ABCC3",0.102017321781687,4.02485308194006e-05,4.11744917086008,"CNV-mRNA"
"6","ABCC4",0.113833005322252,4.54935920251531e-06,4.60026546338105,"CNV-mRNA"
"7","ABCF1",0.255258082211272,2.00874697108793e-25,10.5996764336645,"CNV-mRNA"
"8","ABI1",0.171006149537366,4.652803373918e-12,6.96849519117184,"CNV-mRNA"
"9","ABI2",0.20569903563432,7.00832333060945e-17,8.43922901879957,"CNV-mRNA"
"10","ABL1",0.188622894954679,2.16101717485719e-14,7.71158242181612,"CNV-mRNA"
"11","ABL2",0.195073738429709,2.63621958360127e-15,7.98557008762039,"CNV-mRNA"
"12","ABLIM1",0.13997893942934,1.63208076795546e-08,5.67599834472466,"CNV-mRNA"
"13","ABLIM2",0.0658656448203866,0.00812209559633773,2.65024218298405,"CNV-mRNA"
"14","ABLIM3",0.084338268199569,0.000694663286014971,3.39826523914281,"CNV-mRNA"
"15","ABR",0.120049121483825,1.32017607028824e-06,4.85505054368145,"CNV-mRNA"
"16","ABRAXAS1",0.0701240416784486,0.00869675964769945,2.62745672643901,"CNV-mRNA"
"17","ABRAXAS2",0.244890164530433,1.44902795719902e-20,9.44396453057785,"CNV-mRNA"
"18","ACACA",0.221462387530432,2.21073580917577e-19,9.11806424253289,"CNV-mRNA"
"19","ACAP2",0.204094299864673,1.22800443059904e-16,8.37051803536335,"CNV-mRNA"
"20","ACBD3",0.256863005448719,9.82563138183032e-26,10.6710134163933,"CNV-mRNA"
"21","ACBD5",0.198785760670553,7.59666830590075e-16,8.14371700266955,"CNV-mRNA"
"22","ACIN1",0.256910923581738,9.61732620058528e-26,10.6731447712115,"CNV-mRNA"
"23","ACLY",0.226107852780919,4.01923945503446e-20,9.31084530060114,"CNV-mRNA"
"24","ACSS2",0.214691171741375,2.773940485519e-18,8.82558552013796,"CNV-mRNA"
"25","ACTB",0.0608217648919738,0.0145616028718562,2.44574721562884,"CNV-mRNA"
"26","ACTL6A",0.315557648043478,1.20447829066976e-38,13.3517394818866,"CNV-mRNA"
"27","ACTN1",0.0960163377133469,0.000111838013638924,3.87292289591941,"CNV-mRNA"
"28","ACTN4",0.237535542382137,3.87760876214115e-22,9.81798758533878,"CNV-mRNA"
"29","ACTR2",0.0706287566126811,0.0045279172492533,2.84282425513524,"CNV-mRNA"
"30","ADAM10",0.145986590979705,3.81541028310596e-09,5.92479561238821,"CNV-mRNA"
"31","ADAM17",0.169237706537362,7.74375369232358e-12,6.89429488883211,"CNV-mRNA"
"32","ADAM9",0.256533213077083,1.13856059037451e-25,10.656346837107,"CNV-mRNA"
"33","ADAR",0.253820468421478,3.79543797848795e-25,10.535855762626,"CNV-mRNA"
"34","ADAT1",0.235777694868076,7.94767251699943e-22,9.7410372808862,"CNV-mRNA"
"35","ADCY6",0.11525246308031,3.44864304057441e-06,4.65839657303978,"CNV-mRNA"
"36","ADCY9",0.235282530262897,9.71800175672348e-22,9.7193796197796,"CNV-mRNA"
"37","ADD1",0.190443299961337,1.2024640639681e-14,7.78879410852958,"CNV-mRNA"
"38","ADD2",0.126095935662349,3.73031253272202e-07,5.10345197425821,"CNV-mRNA"
"39","ADD3",0.0692026015956343,0.00541301680690784,2.78514208997235,"CNV-mRNA"
"40","ADGRA2",-0.0140400248273598,0.599662262449995,-0.525006004247222,"CNV-mRNA"
"41","ADGRL2",0.0824068583799459,0.00202952181905192,3.09169466329302,"CNV-mRNA"
"42","ADH5",0.125841467883395,3.93883121549648e-07,5.09298706741094,"CNV-mRNA"
"43","ADNP",0.231608265431631,4.25958526436807e-21,9.55892233579453,"CNV-mRNA"
"44","ADRM1",0.227728566939084,1.97280540338168e-20,9.38996268105893,"CNV-mRNA"
"45","AFAP1",0.166706936628652,1.59030338661067e-11,6.78822793337391,"CNV-mRNA"
"46","AFAP1L1",0.0192772574368707,0.438973150259746,0.774120334419834,"CNV-mRNA"
"47","AFAP1L2",0.0692902054207378,0.00535444894558059,2.78868480979099,"CNV-mRNA"
"48","AFF1",0.108812416701168,1.1806833651945e-05,4.39488353753182,"CNV-mRNA"
"49","AFF4",0.167585768059417,1.24020966243807e-11,6.82504482634083,"CNV-mRNA"
"50","AFTPH",0.132222386466091,9.75169561462931e-08,5.35571453049174,"CNV-mRNA"
"51","AGAP1",0.202946625334502,1.90852052468685e-16,8.31625678173484,"CNV-mRNA"
"52","AGAP2",0.00962076162041699,0.699333801980574,0.386288760994988,"CNV-mRNA"
"53","AGAP3",0.186813242619973,3.84783757003801e-14,7.63490850490369,"CNV-mRNA"
"54","AGFG1",0.14495478157375,4.91830655526668e-09,5.88201808783061,"CNV-mRNA"
"55","AHCTF1",0.292828174426638,2.80385095986469e-33,12.2959616475248,"CNV-mRNA"
"56","AHDC1",0.153479521518303,5.71997442714481e-10,6.23604551979537,"CNV-mRNA"
"57","AHNAK",0.0285031163642426,0.252438230825124,1.14485728679245,"CNV-mRNA"
"58","AHNAK2",0.102543850855523,3.66963700770057e-05,4.13892528622376,"CNV-mRNA"
"59","AHSG",0.0096443966437098,0.698631262234983,0.387237832646327,"CNV-mRNA"
"60","AIDA",0.227772895562801,1.93886249694657e-20,9.39189049539661,"CNV-mRNA"
"61","AIMP1",0.187817364291386,2.79575909992293e-14,7.67744255176442,"CNV-mRNA"
"62","AJUBA",0.205592358441651,7.27561359076332e-17,8.43465915592764,"CNV-mRNA"
"63","AKAP1",0.224225089070171,7.68688403527662e-20,9.23779288725098,"CNV-mRNA"
"64","AKAP10",0.259620447994338,2.84225996733985e-26,10.7937997036316,"CNV-mRNA"
"65","AKAP11",0.229569342277528,9.56649235532273e-21,9.47006843675341,"CNV-mRNA"
"66","AKAP12",0.0454473689711946,0.0679468215631565,1.82658647860668,"CNV-mRNA"
"67","AKAP13",0.117760467284741,2.12785549068896e-06,4.75822339937053,"CNV-mRNA"
"68","AKAP5",0.0692050743953321,0.00541135571391071,2.78524208970027,"CNV-mRNA"
"69","AKAP8",0.226074895460717,3.759425093057e-20,9.31808977028213,"CNV-mRNA"
"70","AKAP8L",0.191730181757387,7.91699495392262e-15,7.84342688483197,"CNV-mRNA"
"71","AKAP9",0.170612452764657,5.21399186409053e-12,6.95197049417988,"CNV-mRNA"
"72","AKNA",-0.022808556485726,0.359806289353759,-0.91599544720502,"CNV-mRNA"
"73","AKR7A2",0.226567291649669,3.18819006979221e-20,9.33658438035115,"CNV-mRNA"
"74","AKT1S1",0.221119644423374,2.51782750911276e-19,9.10322677658667,"CNV-mRNA"
"75","AKT2",0.333496725166453,3.17053566481381e-43,14.2028981209367,"CNV-mRNA"
"76","AKT3",0.0600643687606513,0.0158056477516384,2.41592952219282,"CNV-mRNA"
"77","ALB",-0.00618082155286198,0.804039905695651,-0.248162993755275,"CNV-mRNA"
"78","ALDH1A1",0.0307501297595463,0.216938598505183,1.23519321288621,"CNV-mRNA"
"79","ALDH3A2",0.215784161506342,1.85460074716816e-18,8.87270490806806,"CNV-mRNA"
"80","ALDOC",0.159645463474792,1.11749336449794e-10,6.4929971109806,"CNV-mRNA"
"81","ALKBH5",0.241497027432397,7.53064135309771e-23,9.99177906692217,"CNV-mRNA"
"82","ALMS1",0.138563788680399,2.30120055022579e-08,5.61574364381457,"CNV-mRNA"
"83","ALS2",0.223702367433892,9.39783001563495e-20,9.21512154868929,"CNV-mRNA"
"84","ALYREF",0.264873560176504,2.56706366776117e-27,11.0285025742028,"CNV-mRNA"
"85","AMOT",0.0751771009996644,0.00363254406730729,2.9130382538193,"CNV-mRNA"
"86","AMOTL1",0.0907006580800282,0.000263710636870173,3.65667810081441,"CNV-mRNA"
"87","AMOTL2",0.166515096436115,1.67870827537932e-11,6.78019338666276,"CNV-mRNA"
"88","AMPD2",0.178857696813157,4.53959338296681e-13,7.29877957043084,"CNV-mRNA"
"89","ANAPC1",0.223763715576209,9.17901095596703e-20,9.21778188936265,"CNV-mRNA"
"90","ANAPC2",0.243304935879515,3.52940657850799e-23,10.0712681370021,"CNV-mRNA"
"91","ANK1",0.0659220422551852,0.00808735379568203,2.6516984822984,"CNV-mRNA"
"92","ANK3",0.131703424439647,1.09516000077812e-07,5.33432198836318,"CNV-mRNA"
"93","ANKHD1",0.0903061784743655,0.000280547389626551,3.64064324978855,"CNV-mRNA"
"94","ANKIB1",0.226440481016819,3.26139155729587e-20,9.33397174214745,"CNV-mRNA"
"95","ANKLE2",0.207806725298801,3.3312531098047e-17,8.52958340104406,"CNV-mRNA"
"96","ANKRD11",0.216560759494458,1.39135673616447e-18,8.90620571731896,"CNV-mRNA"
"97","ANKRD12",0.195145472914371,2.57418975084318e-15,7.98862285547156,"CNV-mRNA"
"98","ANKRD17",0.186912707168367,3.7282965498448e-14,7.63912066002749,"CNV-mRNA"
"99","ANKRD26",0.234950117419719,1.11197490075287e-21,9.70484494091308,"CNV-mRNA"
"100","ANKRD27",0.326853699413638,1.81084000750303e-41,13.881452888068,"CNV-mRNA"
"101","ANKRD50",0.126812277898886,3.19889379344851e-07,5.13291682628168,"CNV-mRNA"
"102","ANKS1A",0.233258742863996,2.20009813801888e-21,9.63094564162071,"CNV-mRNA"
"103","ANKZF1",0.140484158998863,1.44766771746428e-08,5.6968961588349,"CNV-mRNA"
"104","ANLN",0.147295283469989,2.7577729781301e-09,5.97908080243244,"CNV-mRNA"
"105","ANP32A",0.2170372826137,1.16577619485002e-18,8.92677070249948,"CNV-mRNA"
"106","ANP32B",0.21673378696659,1.30486206238671e-18,8.91367217338361,"CNV-mRNA"
"107","ANTXR1",0.0150834597006365,0.544822106185485,0.605665582228269,"CNV-mRNA"
"108","ANXA1",0.0914334609360491,0.00023491777753631,3.68646976555779,"CNV-mRNA"
"109","ANXA2",0.0775094340631765,0.00183205290199597,3.12137233784531,"CNV-mRNA"
