"","symbol","correlation","pvalue","t-test","group"
"1","AAAS",0.33817586570847,2.81418448646207e-33,12.3961891539565,"Proteome-Phosphoproteome"
"2","AAK1",0.516611022116038,4.22997430021162e-97,22.6481998495952,"Proteome-Phosphoproteome"
"3","AATF",0.489904844114416,2.93188278023791e-65,18.3047819541555,"Proteome-Phosphoproteome"
"4","ABCA2",0.255214681103798,1.88128812506932e-16,8.3720166809003,"Proteome-Phosphoproteome"
"5","ABCC3",0.69391902170865,6.05079346473065e-136,29.5151992156908,"Proteome-Phosphoproteome"
"6","ABCC4",0.628298777919401,9.25534771562187e-141,28.7922064246287,"Proteome-Phosphoproteome"
"7","ABCF1",0.581470930201723,5.84494001824691e-143,28.3284413129404,"Proteome-Phosphoproteome"
"8","ABI1",0.375576866962542,3.22644630296029e-51,15.647888131536,"Proteome-Phosphoproteome"
"9","ABI2",0.516168959226598,1.84230270518653e-104,23.5036778888174,"Proteome-Phosphoproteome"
"10","ABL1",0.321571734200383,1.16030130931006e-34,12.6250920023532,"Proteome-Phosphoproteome"
"11","ABL2",0.223566588865588,3.9819335817934e-15,7.95892168789632,"Proteome-Phosphoproteome"
"12","ABLIM1",0.772975446782313,6.61585292200626e-300,47.2814089197054,"Proteome-Phosphoproteome"
"13","ABLIM2",0.584398543510145,1.21473569112989e-100,23.7330355522579,"Proteome-Phosphoproteome"
"14","ABLIM3",0.514030547612076,1.09470764198152e-77,20.1890114979743,"Proteome-Phosphoproteome"
"15","ABR",0.328692988865244,2.82214940722451e-30,11.7714656480964,"Proteome-Phosphoproteome"
"16","ABRAXAS1",0.326804281127146,7.6329638858518e-24,10.3621959522177,"Proteome-Phosphoproteome"
"17","ABRAXAS2",0.127486130159822,2.71583227199801e-05,4.21429950074712,"Proteome-Phosphoproteome"
"18","ACACA",0.626088944787336,1.1032883330962e-136,28.3311634354405,"Proteome-Phosphoproteome"
"19","ACAP2",0.507163171867751,2.86359265407047e-91,21.8681898196007,"Proteome-Phosphoproteome"
"20","ACBD3",0.365049450812241,3.15256904193498e-35,12.844210560564,"Proteome-Phosphoproteome"
