"","symbol","correlation","pvalue","t-test","group"
"1","AAAS",0.121766271363649,2.49438500280524e-05,4.23198620459049,"mRNA-Phosphoproteome"
"2","AAK1",0.309527411108149,1.04652641097122e-32,12.2186744558331,"mRNA-Phosphoproteome"
"3","AATF",0.16466423911346,6.69239640984803e-08,5.43783563349665,"mRNA-Phosphoproteome"
"4","ABCA2",0.241852991212072,1.29571973584077e-15,8.11890291592285,"mRNA-Phosphoproteome"
"5","ABCC3",0.47491249656624,4.75959425731973e-54,16.5278380124061,"mRNA-Phosphoproteome"
"6","ABCC4",0.400358943713946,3.3934539407073e-50,15.5760360995889,"mRNA-Phosphoproteome"
"7","ABCF1",0.198223867676821,2.11554089604027e-15,8.01582991038702,"mRNA-Phosphoproteome"
"8","ABI1",0.277419401858396,8.70831813017365e-28,11.1497659393857,"mRNA-Phosphoproteome"
"9","ABI2",0.40559545741222,2.18031382836176e-61,17.3055918618331,"mRNA-Phosphoproteome"
"10","ABL1",0.186329327446252,2.81103720389845e-12,7.05031097208505,"mRNA-Phosphoproteome"
"11","ABL2",0.190920327170284,1.3483602362018e-12,7.15689264883855,"mRNA-Phosphoproteome"
"12","ABLIM1",0.491370112087081,1.78275786534307e-92,21.8941236628922,"mRNA-Phosphoproteome"
"13","ABLIM2",0.457276535069625,2.52185055211453e-57,16.9446867067239,"mRNA-Phosphoproteome"
"14","ABLIM3",0.522895913818249,2.25607930018198e-88,21.6363381071277,"mRNA-Phosphoproteome"
"15","ABR",0.187240568162142,1.67799316302502e-10,6.44707302513847,"mRNA-Phosphoproteome"
"16","ABRAXAS1",0.121426248290684,0.000260973997816943,3.66586337149022,"mRNA-Phosphoproteome"
"17","ABRAXAS2",0.146972485502729,1.27236659205822e-06,4.87171923382236,"mRNA-Phosphoproteome"
"18","ACACA",0.340564754031628,3.09580699815746e-35,12.7806928837983,"mRNA-Phosphoproteome"
"19","ACAP2",0.272997623276268,4.63163052269933e-25,10.5456655458326,"mRNA-Phosphoproteome"
"20","ACBD3",0.185480084208182,8.92480290630335e-10,6.18299877376009,"mRNA-Phosphoproteome"
"21","ACBD5",0.245004733152913,3.97764220431363e-17,8.54731817439745,"mRNA-Phosphoproteome"
"22","ACIN1",0.244395875153277,2.22731973513518e-23,10.1192878292344,"mRNA-Phosphoproteome"
"23","ACLY",0.261647939252399,1.71427750299185e-25,10.6245877903352,"mRNA-Phosphoproteome"
"24","ACSS2",0.369069159272143,2.30891752246276e-34,12.688697810651,"mRNA-Phosphoproteome"
"25","ACTB",0.138263045561538,8.55379738465942e-05,3.94859358416785,"mRNA-Phosphoproteome"
"26","ACTL6A",0.356907510057236,1.11220504751472e-41,14.0017349017652,"mRNA-Phosphoproteome"
"27","ACTN1",0.402536258476637,8.00350539277942e-56,16.465168765088,"mRNA-Phosphoproteome"
"28","ACTN4",0.215172613549492,4.37527570222918e-16,8.22644731319787,"mRNA-Phosphoproteome"
"29","ACTR2",0.0067576804492552,0.817389540860252,0.230955861776078,"mRNA-Phosphoproteome"
"30","ADAM10",0.0861938761137251,0.00293430237206974,2.98071919054894,"mRNA-Phosphoproteome"
"31","ADAM17",0.121802185360407,8.02571045832967e-06,4.48207044757315,"mRNA-Phosphoproteome"
"32","ADAM9",0.284919270879572,3.61963148531553e-27,11.0299447234129,"mRNA-Phosphoproteome"
"33","ADAR",0.248751093236587,1.09274871636245e-22,9.96330398027788,"mRNA-Phosphoproteome"
"34","ADAT1",0.317576154752696,6.75180787287265e-31,11.8740962452275,"mRNA-Phosphoproteome"
"35","ADCY6",0.197954988608261,4.55774336204293e-13,7.31220191841008,"mRNA-Phosphoproteome"
"36","ADCY9",0.333174927390323,1.83988069156224e-29,11.6127388682256,"mRNA-Phosphoproteome"
"37","ADD1",0.115912541406652,4.49574668818331e-06,4.60333445924443,"mRNA-Phosphoproteome"
"38","ADD2",0.388483438859309,1.95820039811565e-55,16.3501583823567,"mRNA-Phosphoproteome"
"39","ADD3",0.404892294223607,5.74902632309345e-61,17.2412921143649,"mRNA-Phosphoproteome"
"40","ADGRA2",0.419212153559768,8.56570098135188e-55,16.3772796487493,"mRNA-Phosphoproteome"
"41","ADGRL2",0.460589298821693,1.34561210888263e-54,16.5400516444252,"mRNA-Phosphoproteome"
"42","ADH5",0.2082801067434,2.25287821274393e-12,7.09798749188905,"mRNA-Phosphoproteome"
"43","ADNP",0.312446067378852,2.3990556272674e-35,12.7344959906072,"mRNA-Phosphoproteome"
"44","ADRM1",0.0677412693079645,0.0469097811359184,1.98997979926407,"mRNA-Phosphoproteome"
"45","AFAP1",0.381533816776691,7.17770764472383e-51,15.6139978432968,"mRNA-Phosphoproteome"
"46","AFAP1L1",0.541214835298333,5.01839244861309e-112,24.592905843616,"mRNA-Phosphoproteome"
"47","AFAP1L2",0.556574500731145,1.05144700663228e-111,24.7147988587079,"mRNA-Phosphoproteome"
"48","AFF1",0.152597871699812,2.3189803538706e-08,5.62047129058859,"mRNA-Phosphoproteome"
"49","AFF4",0.0837425942594904,0.00162300039828323,3.15785321326957,"mRNA-Phosphoproteome"
"50","AFTPH",0.141224354078827,5.40973088154455e-08,5.46571836053104,"mRNA-Phosphoproteome"
"51","AGAP1",0.415507653312006,7.032941078079e-65,17.8506083177275,"mRNA-Phosphoproteome"
"52","AGAP2",0.274226442044085,1.95515462884565e-22,9.93970718364686,"mRNA-Phosphoproteome"
"53","AGAP3",0.206147200634191,2.51357176921899e-14,7.70611261740867,"mRNA-Phosphoproteome"
"54","AGFG1",0.163869374959142,6.11184159904526e-10,6.23096999936181,"mRNA-Phosphoproteome"
"55","AHCTF1",0.154134918151002,7.94139996227267e-09,5.8055996496233,"mRNA-Phosphoproteome"
"56","AHDC1",0.310005451856303,5.81047608123958e-33,12.2699156470805,"mRNA-Phosphoproteome"
"57","AHNAK",0.458086169072838,1.56047500619168e-84,20.690595255533,"mRNA-Phosphoproteome"
"58","AHNAK2",0.557913993061645,1.62928613295941e-124,26.1321030943411,"mRNA-Phosphoproteome"
"59","AHSG",-0.0313318875601074,0.221539544339026,-1.22294566213884,"mRNA-Phosphoproteome"
"60","AIDA",0.188580794908894,1.30695637870709e-10,6.48639345264528,"mRNA-Phosphoproteome"
"61","AIMP1",0.0315624197229706,0.364664564282969,0.90701337661173,"mRNA-Phosphoproteome"
"62","AJUBA",0.48338131111052,8.44438937601973e-80,20.2506766655292,"mRNA-Phosphoproteome"
"63","AKAP1",0.419137133508944,6.23557160148803e-58,16.8547464899054,"mRNA-Phosphoproteome"
"64","AKAP10",0.130724098048692,1.78599715795758e-06,4.79780400291487,"mRNA-Phosphoproteome"
"65","AKAP11",0.110025209294182,3.99326514424486e-05,4.12115116622756,"mRNA-Phosphoproteome"
"66","AKAP12",0.493498688858157,8.12145643125195e-98,22.5467712333044,"mRNA-Phosphoproteome"
"67","AKAP13",0.443479230316871,8.91108469148523e-76,19.4801894400421,"mRNA-Phosphoproteome"
"68","AKAP5",0.353064231682455,3.26442223349204e-29,11.6067198449191,"mRNA-Phosphoproteome"
"69","AKAP8",0.246196060493664,3.07031523913466e-20,9.36415166874193,"mRNA-Phosphoproteome"
"70","AKAP8L",0.246980190513714,1.23889597447339e-21,9.70873952811835,"mRNA-Phosphoproteome"
"71","AKAP9",0.110134788000364,6.52332443128641e-05,4.00601289886151,"mRNA-Phosphoproteome"
"72","AKNA",0.504006406078353,6.72005954156161e-83,20.795771664443,"mRNA-Phosphoproteome"
"73","AKR7A2",0.1651419139866,1.04899591685889e-09,6.14533227432566,"mRNA-Phosphoproteome"
"74","AKT1S1",0.233418032342607,4.36924992057671e-19,9.05529092048809,"mRNA-Phosphoproteome"
"75","AKT2",0.134994295643728,1.76693610496146e-06,4.80142213189998,"mRNA-Phosphoproteome"
"76","AKT3",0.408960206472567,3.09277008981045e-45,14.7889474771315,"mRNA-Phosphoproteome"
"77","ALB",-0.0407175328566221,0.124985408329388,-1.53508689518538,"mRNA-Phosphoproteome"
"78","ALDH1A1",0.50752863332781,5.25532367186774e-68,18.8121034186923,"mRNA-Phosphoproteome"
"79","ALDH3A2",0.382873284743223,1.38678494310716e-31,12.1753679556568,"mRNA-Phosphoproteome"
"80","ALDOC",0.481791477861592,2.57195215515704e-77,19.9149953561166,"mRNA-Phosphoproteome"
"81","ALKBH5",0.353620176408445,1.34812072560952e-41,13.9774835024965,"mRNA-Phosphoproteome"
"82","ALMS1",0.197616334947168,2.62776987902753e-11,6.73449512596817,"mRNA-Phosphoproteome"
"83","ALS2",0.270170412268781,2.01205008573573e-25,10.6223144050672,"mRNA-Phosphoproteome"
"84","ALYREF",0.117664366587455,1.80751928234444e-05,4.30323186497947,"mRNA-Phosphoproteome"
"85","AMOT",0.46260451673526,3.32991709975104e-63,17.8481143015972,"mRNA-Phosphoproteome"
"86","AMOTL1",0.471583236462595,2.38885192064102e-76,19.7218251233825,"mRNA-Phosphoproteome"
"87","AMOTL2",0.356024172407805,4.28433645537643e-38,13.3563234684391,"mRNA-Phosphoproteome"
"88","AMPD2",0.242958293687792,4.62859830845704e-22,9.80651337558272,"mRNA-Phosphoproteome"
"89","ANAPC1",0.144673252278755,2.01118313938719e-07,5.22693232781088,"mRNA-Phosphoproteome"
"90","ANAPC2",0.0725331110232984,0.0112699827057062,2.53808047456647,"mRNA-Phosphoproteome"
"91","ANK1",0.123801829155331,1.24885422555245e-06,4.86730262258532,"mRNA-Phosphoproteome"
"92","ANK3",0.537445378332526,5.48318224848714e-114,24.7733766026774,"mRNA-Phosphoproteome"
"93","ANKHD1",0.0992295086440407,0.000672897127247275,3.40954818119641,"mRNA-Phosphoproteome"
"94","ANKIB1",0.154193460411454,1.45960895767907e-09,6.08633339108848,"mRNA-Phosphoproteome"
"95","ANKLE2",0.240577055501704,3.45470919549619e-19,9.08995258348519,"mRNA-Phosphoproteome"
"96","ANKRD11",0.173142326115926,1.88004079100144e-10,6.42081903522581,"mRNA-Phosphoproteome"
"97","ANKRD12",0.267490448868681,2.34351801944414e-23,10.1468797823608,"mRNA-Phosphoproteome"
"98","ANKRD17",0.159124352996106,3.26249308559358e-09,5.95704797736981,"mRNA-Phosphoproteome"
"99","ANKRD26",0.170782476064768,4.88935890987493e-09,5.89573076588503,"mRNA-Phosphoproteome"
"100","ANKRD27",0.221243561117073,3.85997929286668e-14,7.66322352896636,"mRNA-Phosphoproteome"
"101","ANKRD50",0.404786681773429,5.99724751436808e-46,14.8938823072784,"mRNA-Phosphoproteome"
"102","ANKS1A",0.231020471887147,2.15440509253719e-19,9.13155053536396,"mRNA-Phosphoproteome"
"103","ANKZF1",0.263063806514699,8.04244844163588e-23,10.0147355614404,"mRNA-Phosphoproteome"
"104","ANLN",0.516433830764462,3.04660482955656e-93,22.1831847208321,"mRNA-Phosphoproteome"
"105","ANP32A",0.210108420464165,1.73879390951283e-14,7.75746423820872,"mRNA-Phosphoproteome"
"106","ANP32B",0.348562669655334,1.13900812767943e-31,12.1019948977144,"mRNA-Phosphoproteome"
"107","ANTXR1",0.518055915800431,1.13245761283521e-91,22.0050009588838,"mRNA-Phosphoproteome"
"108","ANXA1",0.459422508740609,1.59984930440496e-47,15.3873702925343,"mRNA-Phosphoproteome"
"109","ANXA2",0.48049052810706,1.64894648077383e-80,20.3233125469564,"mRNA-Phosphoproteome"
"110","ANXA4",0.467913179892033,2.26138987077769e-66,18.3329955982318,"mRNA-Phosphoproteome"
"111","ANXA5",0.239059429955178,8.70160734305437e-14,7.57233832223273,"mRNA-Phosphoproteome"
"112","AP1AR",0.26512758721328,6.13291936527037e-17,8.51956461251513,"mRNA-Phosphoproteome"
"113","AP2A1",0.176162576116113,3.35954198394903e-10,6.33229852152752,"mRNA-Phosphoproteome"
"114","AP2M1",0.0583740864833798,0.0506064900074511,1.95690754944823,"mRNA-Phosphoproteome"
"115","AP3B1",0.094432003167756,0.000305315125951296,3.61946986258948,"mRNA-Phosphoproteome"
"116","AP3B2",0.310804503611178,9.05579290497373e-24,10.3147490338475,"mRNA-Phosphoproteome"
"117","AP3D1",0.0989893198485251,0.000137977181874608,3.8218163458907,"mRNA-Phosphoproteome"
"118","APBA1",0.298157881806822,1.38269363810059e-30,11.7708275159716,"mRNA-Phosphoproteome"
"119","APBB1",0.365659216208107,8.99643083331423e-41,13.8676559342443,"mRNA-Phosphoproteome"
"120","APBB2",0.384870861293915,1.74855482645088e-48,15.2415969191876,"mRNA-Phosphoproteome"
"121","APC",0.317849410902144,4.5147335216914e-35,12.6947152509968,"mRNA-Phosphoproteome"
"122","API5",0.132182676880236,6.87106344506891e-07,4.98782249497415,"mRNA-Phosphoproteome"
"123","APIP",0.304783451805554,5.07531127495254e-22,9.88926007811544,"mRNA-Phosphoproteome"
"124","APOA1",0.0164429136130649,0.630537669652248,0.481143225574991,"mRNA-Phosphoproteome"
"125","APOA2",0.0206846003497542,0.543494171969984,0.607778676399927,"mRNA-Phosphoproteome"
"126","APOB",0.0199753354894931,0.552420695857804,0.594363839532655,"mRNA-Phosphoproteome"
"127","APOBR",0.404055785421645,6.66919411597342e-58,16.7853321861002,"mRNA-Phosphoproteome"
"128","APOL1",0.0605381793347781,0.0332551513724797,2.13137620465957,"mRNA-Phosphoproteome"
"129","APPL1",0.0752999458219891,0.00635739089596766,2.7331600119101,"mRNA-Phosphoproteome"
"130","APRT",0.150196252477591,2.62103664620456e-06,4.72662862028806,"mRNA-Phosphoproteome"
"131","APTX",0.358960057491061,1.01430896774875e-30,11.9347514291814,"mRNA-Phosphoproteome"
"132","AQP1",0.465299034975776,1.75822424639905e-68,18.6149684426407,"mRNA-Phosphoproteome"
"133","AR",0.511334264604133,6.93388510997869e-71,19.2435206317312,"mRNA-Phosphoproteome"
"134","ARAF",0.151080308671802,9.63013901257029e-09,5.77140445277387,"mRNA-Phosphoproteome"
"135","ARAP1",0.188351421335326,2.91483046977735e-12,7.04659521954541,"mRNA-Phosphoproteome"
"136","ARAP3",0.361164135291478,1.05851791848528e-41,14.0181392960066,"mRNA-Phosphoproteome"
"137","ARCN1",0.0457015006015439,0.170018958696434,1.37324134244533,"mRNA-Phosphoproteome"
"138","ARFGAP1",0.16657978729005,2.13362196345952e-10,6.3974609056878,"mRNA-Phosphoproteome"
"139","ARFGAP2",0.076205027630264,0.00440191038697263,2.85248833866581,"mRNA-Phosphoproteome"
"140","ARFGAP3",0.222774831512479,8.40223694125183e-16,8.153304316048,"mRNA-Phosphoproteome"
"141","ARFGEF1",0.198244841136351,1.37022330101809e-15,8.07011569402877,"mRNA-Phosphoproteome"
"142","ARFGEF2",0.103719805695275,0.000147675329676877,3.80594483545654,"mRNA-Phosphoproteome"
"143","ARFGEF3",0.496136435566145,1.2196412354894e-90,21.7066203596275,"mRNA-Phosphoproteome"
"144","ARFIP1",0.224771251153468,2.8211314151336e-17,8.56604732316842,"mRNA-Phosphoproteome"
"145","ARHGAP1",0.226131685936805,5.14645701601727e-13,7.31901306748273,"mRNA-Phosphoproteome"
"146","ARHGAP10",0.132256882423682,1.44973483589588e-05,4.35641063998803,"mRNA-Phosphoproteome"
"147","ARHGAP12",0.315985142120904,7.04608016186372e-34,12.46156018665,"mRNA-Phosphoproteome"
"148","ARHGAP15",0.518462374834064,5.97158794440048e-94,22.2857774071703,"mRNA-Phosphoproteome"
"149","ARHGAP17",0.113333331193422,2.65137197053186e-05,4.21589908465404,"mRNA-Phosphoproteome"
"150","ARHGAP21",0.365795819230662,2.52029863366694e-47,14.9869583704261,"mRNA-Phosphoproteome"
"151","ARHGAP22",0.261432656458724,5.22213744086437e-18,8.80582892626511,"mRNA-Phosphoproteome"
"152","ARHGAP23",0.393495270166315,3.0193706119448e-53,16.032398772282,"mRNA-Phosphoproteome"
"153","ARHGAP24",0.421418078689364,2.67586534674129e-52,15.9966480891797,"mRNA-Phosphoproteome"
"154","ARHGAP25",0.526429998590379,1.16212375653699e-104,23.6179167799793,"mRNA-Phosphoproteome"
"155","ARHGAP26",0.269348739828614,2.94112153692801e-16,8.33442962797525,"mRNA-Phosphoproteome"
"156","ARHGAP27",0.25611185510015,8.83555246660694e-22,9.75644387659117,"mRNA-Phosphoproteome"
"157","ARHGAP29",0.556624198075579,5.93024158907133e-110,24.5174043007366,"mRNA-Phosphoproteome"
"158","ARHGAP30",0.574105800032922,7.49470947983669e-121,25.9243794385334,"mRNA-Phosphoproteome"
