"","symbol","correlation","pvalue","t-test","group"
"1","AAAS",0.140246818606075,1.53163215687505e-08,5.68707828794339,"mRNA-Proteome"
"2","AAK1",0.427335417101637,1.20747110085967e-72,18.9774660657331,"mRNA-Proteome"
"3","AATF",0.221709497006274,2.01256988374942e-19,9.12876390006955,"mRNA-Proteome"
"4","ABCA2",0.14696344234335,8.6970518952589e-09,5.7868669417717,"mRNA-Proteome"
"5","ABCC3",0.486060727136596,1.32783186070525e-86,21.1348878432243,"mRNA-Proteome"
"6","ABCC4",0.38271607210846,1.88560872487548e-57,16.6322203200968,"mRNA-Proteome"
"7","ABCF1",0.412341374671806,2.80450240376465e-67,18.172180200599,"mRNA-Proteome"
"8","ABI1",0.277980049239352,5.01277339700578e-30,11.6187527573309,"mRNA-Proteome"
"9","ABI2",0.397135634654526,4.14116005865335e-62,17.3736986614581,"mRNA-Proteome"
"10","ABL1",0.249259252997467,2.78274621782967e-24,10.3338588774868,"mRNA-Proteome"
"11","ABL2",0.137296449818364,1.41769567543136e-07,5.28898530816105,"mRNA-Proteome"
"12","ABLIM1",0.56584280676787,2.85381552172677e-137,27.5537514690248,"mRNA-Proteome"
"13","ABLIM2",0.351850475246397,7.62038491980656e-46,14.6980578432723,"mRNA-Proteome"
"14","ABLIM3",0.379751506527671,1.28662170401695e-52,15.8828014962531,"mRNA-Proteome"
"15","ABR",0.522961174103621,5.50188526613143e-114,24.6337588803578,"mRNA-Proteome"
"16","ABRAXAS1",0.0749654304016061,0.00434167841719962,2.85672479833018,"mRNA-Proteome"
"17","ABRAXAS2",0.221785160201399,1.95547739641143e-19,9.13204043022022,"mRNA-Proteome"
"18","ACACA",0.509814227976128,1.71038058799361e-107,23.7931730264608,"mRNA-Proteome"
"19","ACAP2",0.475608974040796,7.12877083949697e-92,21.7079738593252,"mRNA-Proteome"
"20","ACBD3",0.299841933463984,6.95740461879415e-35,12.6191925870843,"mRNA-Proteome"
"21","ACBD5",0.53510983036977,3.03298747510495e-120,25.4320014850778,"mRNA-Proteome"
"22","ACIN1",0.330795611717529,1.62405409578995e-42,14.0736643215798,"mRNA-Proteome"
"23","ACLY",0.398466025245688,1.49803625409101e-62,17.4428632400204,"mRNA-Proteome"
"24","ACSS2",0.59474608344801,5.2588760409274e-155,29.703301740056,"mRNA-Proteome"
"25","ACTB",0.198826559698582,7.49246173937657e-16,8.14545721597382,"mRNA-Proteome"
"26","ACTL6A",0.468865681064988,5.3514206287869e-89,21.312664095134,"mRNA-Proteome"
"27","ACTN1",0.54769660546529,5.27545929415951e-127,26.2823823719721,"mRNA-Proteome"
"28","ACTN4",0.479714529143296,1.17635565722721e-93,21.9510638356475,"mRNA-Proteome"
"29","ACTR2",0.178606449169266,4.89870267952896e-13,7.28818862877474,"mRNA-Proteome"
"30","ADAM10",0.241696081290514,6.92989980132924e-23,10.0005255191245,"mRNA-Proteome"
"31","ADAM17",0.173386693868733,2.32375738411242e-12,7.06848773606876,"mRNA-Proteome"
"32","ADAM9",0.465770698711483,1.06366951644229e-87,21.132837451583,"mRNA-Proteome"
"33","ADAR",0.502516344726422,5.20298564205e-104,23.3363913869771,"mRNA-Proteome"
"34","ADAT1",0.164327903854787,2.90683846575635e-09,5.97879473866548,"mRNA-Proteome"
"35","ADCY6",0.109499368228178,0.000179457458154654,3.75843858501444,"mRNA-Proteome"
"36","ADCY9",0.217874842221413,3.61863200393574e-13,7.36007771736158,"mRNA-Proteome"
"37","ADD1",0.131133568044926,1.24335489089717e-07,5.31083663020718,"mRNA-Proteome"
"38","ADD2",0.400666063550137,2.75939234944637e-63,17.5575267965554,"mRNA-Proteome"
