"","01OV007","17OV005","01OV010","14OV029","01OV023","02OV001","01OV039","01OV019","17OV001","17OV004","01OV013","15OV001","11OV010","01OV008","17OV002","11OV002","14OV011","17OV003","01OV017","01OV029"
"A1BG",0.478771142658737,0.585540451400938,-1.37335992293649,2.25595964519574,0.0821634536797624,-0.0115318881139442,0.000487579006978236,-0.157490289879891,-2.03106061151916,-0.370183120007661,0.522463738475651,1.28571001405198,1.17127834460109,-0.0632348376969407,1.28754363094321,0.930674869037423,-1.26898586949482,-0.000487579006978236,-0.31230564035545,-0.169614231828735
"A2M",1.77674966847095,0.23388958064789,-1.01713857751685,2.75536685501862,-0.108763523325739,0.00847358008188489,-0.614393727487571,-0.557650034087332,-0.938320405225392,0.929643081891875,0.347741070233861,1.39432735592324,-0.00847358008188489,-0.0583640228964871,0.550306261270603,-0.0178369297218443,-0.0978574780747632,1.9230475117332,-0.641180002870909,0.120957089763136
"A2ML1",-1.76005032093641,0.195486078214845,0.17909230143783,0.0912813996381922,-0.225843885637204,0.0623031326407527,0.937591585703649,-0.117116808726273,-0.0714707475055303,0.764954829282276,-2.04975189123131,-2.46701377578334,-2.05889366038037,-0.046706504768335,0.437492258841179,-0.0882351042529593,0.0571796515913364,0.0276204371964098,0.953036965568003,-0.0276204371964098
"AAAS",-0.126660492339103,0.519545391063042,-0.0464335991709838,-0.965058982699229,1.30438619444099,-0.00400652076697659,-0.893644313638027,0.00400652076697651,2.97446446947514,-0.842617757116071,-0.0185546857779915,-0.950628396909302,-0.217636637885964,-0.642988970585244,0.23169807117918,0.487479389890374,0.134421481277795,1.339774035075,1.76393963314471,0.29436155817416
"AACS",0.797548522601898,1.1522448750751,-0.719953893195426,0.495895375202791,-0.0453082243071393,-0.519433133783496,-0.00624791595710484,-0.017930307467117,-1.02425919170458,2.7875528611946,1.59953113209492,-0.408944657103971,0.00624791595710482,0.223636823959231,1.56531027836837,-0.552204984050424,1.91362901049437,-0.197482826663646,0.891633910291808,-0.287367441409659
"AAGAB",-0.49366009255563,-1.31934133391829,-0.279686069844184,-1.43035019343008,1.36930657794224,0.348628622241831,-0.195773862998083,0.289852759262769,1.5893160755107,-0.89217544209309,0.946440249739869,1.05115511551703,0.788258130065719,0.0228978918733995,-1.36314542063119,-0.0228978918733995,-1.01666225814942,1.4152950721103,-1.34180222065073,0.365798921001139
"AAK1",-0.405670637137413,-0.860472583890753,-2.47675987138327,0.313501958566047,-0.304005575866174,0.834327959682719,-0.571057044382212,0.687880176123055,1.24488394688064,-2.24905011827297,0.577302197767824,0.475269027976183,0.964928877850719,0.287884832507874,-0.44711554397273,0.90819086132414,-0.414063303866373,0.180021959593275,-1.07059306001265,-0.180021959593275
"AAMDC",-0.27878684908037,0.764277132036032,3.80977228550815,-0.277790273379084,-0.59572307132064,-0.338741443845976,0.538748665102443,-0.288834137697662,-0.114837378801777,0.126748140871975,1.02098210798094,0.190922910792675,0.744459476098333,-0.287931296556751,1.24303280996426,-0.793901806023158,-0.160840493324191,-0.321402414384361,0.114837378801777,0.73447398764462
"AAMP",-2.99899547327577,0.205951942233727,0.43032779472519,-0.286625955560378,0.429723477899844,-0.40530280343464,0.503665906362486,0.158411706478312,0.944095132041737,-1.06347977659653,0.182145155499483,-1.30715999259217,-1.63133261844196,-1.54393355634105,0.75299847545673,-0.64137641818182,-1.4966508904325,0.0622270909105915,0.0539702505312692,-0.0539702505312694
"AAR2",-1.04187836245918,0.118362002793043,2.41761915605043,-0.939215029270806,-0.348010925822764,0.683668078141514,1.1049098507395,0.0366636754217651,1.3675120637847,-0.549666609752547,-0.743145148965079,-1.0461618032315,0.445868459762579,-0.977288273574289,-1.98067301877706,0.451189012255268,0.137178256197355,-0.0119699111308374,0.0119699111308374,-0.591626032465897
"AARS",-0.830504246072358,-0.738373922488122,-1.79308561327785,-0.146203552589104,0.316968201176117,0.878660264250543,1.07678259261748,0.887995135013967,-1.12412788003659,-0.677142922793349,0.332054015164789,0.244682422344284,1.51947159324647,-1.65459426616833,-1.79229493179099,0.833724140268315,0.146203552589104,-0.790669469949494,-0.383467689873147,0.715411165253748
"AARS2",-0.592570783927097,1.50894439526019,-1.22103111588685,0.270477389951902,-0.766875108929504,0.621447902128409,0.703185008839724,-0.427567651562391,-0.120134895961836,0.140394654414496,-0.485533144231236,-0.21737671506136,0.120134895961836,0.401822229882419,3.03516950131196,-0.322677156990267,-0.38190709552609,1.28440582133101,0.158310245857299,-1.34383207923284
"AARSD1",0.953033046125458,-0.282661783120921,3.40570030153801,-0.0934761880729881,-0.091475329567565,-0.0156581952334098,-2.01130707015424,-0.338545959543093,-0.264127413095711,0.0156581952334098,1.10771329549419,0.681130108796273,-0.301690540881737,-0.172259204635107,-0.578044837064206,0.0251374494325489,0.522823234451387,0.342485409376861,0.24556887546864,0.474565673860161
