"","blcdb9-I","263d3f-I","c4155b-C"
"A1BG",0,-1.22793790899892,0.753191010074
"A2M",0.27351806971448,-1.57901801917826,0
"A2ML1",0,-0.693354625970551,1.27795942240634
"AAAS",1.19938346666815,0,-0.786349202176965
"AACS",-0.429120594981282,1.47715233656462,0
"AADAT",1.1738165487982,-0.81545260366532,0
"AAED1",-1.67602311648126,0,0.107086259323956
"AAGAB",1.03508859094374,0,-0.964496090844769
"AAK1",1.6782183872587,0,-0.103062384959226
"AAMDC",-0.606393285687295,0,1.3473230896361
"AAMP",-0.962886514161138,1.03665989179798,0
"AAR2",1.65652016149063,-0.142283950162762,0
"AARD",-1.26917218550126,0,0.704033148356594
"AARS",1.71158423394077,-0.0402321893930275,0
"AARS2",0.969112688859299,-1.0305725105589,0
"AARSD1",1.29787647522852,-0.668877186216524,0
"AASDHPPT",1.50400406778732,-0.389697936790145,0
"AASS",-1.24575526137506,0,0.732139111484787
"AATF",1.34891747650751,-0.604336097198545,0
"ABAT",1.69388490479873,0,-0.0739622370073309
"ABCA1",1.1738165487982,-0.81545260366532,0
"ABCA12",0,0.89625478526202,-1.10027356316862
"ABCA2",-1.71304281179217,0,0.0374099358328938
"ABCA3",-1.70543656211508,0.0520549498963984,0
"ABCA8",0,-1.38484167585815,0.557243176758386
"ABCB10",1.37750596333512,0,-0.56697708117721
"ABCB6",-1.06652317682571,0,0.931967484111366
"ABCB7",0.0501748305463672,-1.70641824881941,0
"ABCB8",1.1738165487982,-0.81545260366532,0
"ABCC1",0,-0.592320190201782,1.35818799227658
"ABCC10",1.1738165487982,-0.81545260366532,0
"ABCC11",1.52930779486787,-0.351550945512599,0
"ABCC3",-1.37387399742224,0,0.571773722386178
"ABCC4",0.957392535622081,-1.04201068934781,0
"ABCC5",-1.50322950513696,0,0.390850035144584
"ABCD1",-1.59771652032433,0.243003746301287,0
"ABCD3",-1.34088896583328,0,0.614667413370966
"ABCD4",1.11591255592306,-0.879421325749461,0
"ABCE1",1.32855849385624,-0.630401889993957,0
"ABCF1",-0.891973672467181,1.10426708674776,0
"ABCF2",0.550755223131272,-1.3897054233444,0
"ABCF3",1.5332932367943,-0.345449999483083,0
"ABCG1",-1.26772005494757,0,0.705790821334519
"ABHD10",1.71012659535764,0,-0.0430459779039799
"ABHD11",1.65813296921116,0,-0.139409788883477
"ABHD12",1.50843675929144,-0.383087167431994,0
"ABHD13",1.1738165487982,-0.81545260366532,0
"ABHD14B",1.43128857637181,-0.494132450869974,0
"ABHD16A",1.38207324895409,-0.560923898420582,0
"ABHD17A",-0.1773913982147,0,1.63652869756677
"ABHD17B",1.1738165487982,-0.81545260366532,0
"ABHD17C",1.1738165487982,-0.81545260366532,0
"ABHD3",1.1738165487982,-0.81545260366532,0
"ABHD4",1.48086648966978,-0.423729900875286,0
"ABHD5",0.881668519077382,-1.11383466561898,0
"ABHD6",0,-1.69369145947122,0.0743257690015527
"ABI1",0.727360381654,0,-1.24976647900752
"ABI2",0,1.67019237661193,-0.11771180328024
"ABI3",-0.673155756039604,0,1.29441752236705
"ABI3BP",-0.83473675196226,0,1.15661094923017
"ABL1",-1.66894887938011,0,0.11996635392258
"ABL2",-1.72044559283026,0.0229817221326509,0
"ABLIM1",-1.30914383763337,0,0.654858037038128
"ABLIM2",1.38458526062169,-0.557584460467228,0
"ABLIM3",-1.13179356276674,0,0.862137706456408
"ABR",1.19219935946633,0,-0.794581993212181
"ABRACL",1.49307488956254,-0.405871133205875,0
"ABRAXAS1",-1.66683655346677,0,0.123786992798834
"ABRAXAS2",-1.63036629235373,0.188026360639905,0
"ABT1",0,-1.29156174121528,0.676679412906281
"ABTB1",-1.6798281144417,0.100103564661015,0
"ABTB2",0.581906979394382,-1.36616394745054,0
"ACAA1",1.45199901836435,-0.465123548273152,0
"ACAA2",0,-0.566003462522662,1.37824179703585
