,blcdb9-I,263d3f-I,c4155b-C
A1BG,2.01,1.53,2.44
A2M,2.59,1.43,2.48
A2ML1,-0.41,-0.43,0.01
AAAS,0.55,0.33,0.08
AACS,-0.22,0.49,0.02
AADAT,NA,NA,NA
AAED1,-0.34,0.46,0.48
AAGAB,-0.22,-0.31,-0.56
AAK1,0.3,0.07,0.02
AAMDC,-1.12,-0.47,0.59
AAMP,-1.66,-0.64,-1.12
AAR2,0.82,-0.06,-0.01
AARD,-1.81,-0.41,0.24
AARS,-0.35,-0.37,-0.4
AARS2,0.12,-0.31,-0.05
AARSD1,0.98,0.11,0.42
AASDHPPT,0.68,-0.27,-0.08
AASS,0.06,0.81,1.16
AATF,0.14,-0.08,0
ABAT,1.79,-0.14,-0.26
ABCA1,NA,NA,NA
ABCA12,1.43,2.61,0.17
ABCA2,-3.97,-1.5,-1.5
ABCA3,NA,1.44,1.1
ABCA8,1.74,1.3,2.04
ABCB10,1.11,0.64,0.38
ABCB6,-0.25,0.18,0.41
ABCB7,-0.49,-0.46,-0.38
ABCB8,NA,NA,NA
ABCC1,-0.15,-0.09,0.14
ABCC10,NA,NA,NA
ABCC11,2.98,1.06,1.42
ABCC3,-1.25,-0.11,0.27
ABCC4,1.47,0.56,1.07
ABCC5,-2.86,-0.97,-0.57
ABCD1,-2.61,-0.92,-1.16
ABCD3,-1.56,-1.16,-1.1
ABCD4,1.64,0.38,0.96
ABCE1,0.25,-0.21,-0.05
ABCF1,-0.39,-0.14,-0.23
ABCF2,-0.28,-0.28,-0.21
ABCF3,0.48,-0.27,-0.14
ABCG1,-2.52,-1.73,-1.45
ABHD10,0.88,0.36,0.32
ABHD11,0.42,-0.05,-0.13
ABHD12,1.19,-0.33,-0.03
ABHD13,NA,NA,NA
ABHD14B,1.51,0.4,0.69
ABHD16A,0.4,-0.02,0.11
ABHD17A,-0.04,0.13,0.43
ABHD17B,NA,NA,NA
ABHD17C,NA,NA,NA
ABHD3,NA,NA,NA
ABHD4,0.97,0.54,0.64
ABHD5,2.51,1.34,2.03
ABHD6,1.55,0.9,1.67
ABI1,0.16,0.19,-0.01
ABI2,0.01,0.52,0.09
ABI3,-0.16,0.1,0.31
ABI3BP,1.22,1.76,2.37
ABL1,-1.4,-0.24,-0.2
ABL2,-1,-0.02,-0.06
ABLIM1,0.45,0.92,1.08
ABLIM2,2.18,0.93,1.3
ABLIM3,0.43,1.14,1.58
ABR,0.12,0.07,-0.08
ABRACL,0.58,-0.43,-0.22
ABRAXAS1,-1.1,-0.47,-0.47
ABRAXAS2,-0.47,0.08,0.01
ABT1,0.75,0.2,1.2
ABTB1,1.97,2.26,2.25
ABTB2,0.57,0.36,0.57
ACAA1,1.4,0.17,0.47
ACAA2,0.96,0.86,1.57
ACACA,0.71,-0.25,0.41
ACACB,2.21,1.6,2.65
ACAD10,-0.28,-0.13,-0.03
ACAD11,-0.01,1.12,1.24
ACAD8,0.48,0.56,0.98
ACAD9,-0.34,-0.15,0
ACADL,1.87,2.23,1.16
ACADM,0.71,0.24,0.71
ACADS,2.01,1.47,1.9
ACADSB,0.7,0.06,-0.12
ACADVL,0.59,0.23,0.62
ACAN,-1.61,-0.94,-0.81
ACAP1,-0.65,-0.11,-0.16
ACAP2,0.32,0.07,0.31
ACAP3,NA,NA,NA
ACAT1,0.78,0.39,0.96
ACAT2,1.07,0.07,0.75
ACBD3,-0.03,-0.18,-0.49
ACBD5,-0.59,-0.7,-0.36
ACBD6,-0.48,-0.22,-0.31
ACBD7,-1.96,0.25,-0.72
ACD,NA,NA,NA
ACE,1.3,2.08,0.95
ACE2,NA,NA,NA
ACIN1,-1.26,-0.48,-0.81
ACLY,-0.15,-0.44,-0.07
ACO1,1.54,0.71,1.37
ACO2,0.82,-0.33,0.16
ACOT1,2.16,1.28,1.67
ACOT11,-0.54,-0.12,0.14
ACOT13,1.24,0.13,0.58
ACOT2,2.98,2.38,3.41
ACOT4,1.05,0.12,0.16
ACOT7,-0.25,-0.09,-0.21
ACOT8,-0.83,-0.33,-0.85
ACOT9,-0.28,-0.01,0.53
ACOX1,0.99,-0.11,0.39
