"","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-WVLH-0011-R10A-SM-HAKXZ","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-Q2AG-0011-R10A-SM-HAKXT","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-RU72-0011-R10A-SM-HAKXS"
"A1BG",-1.3143179481742,0.0869265572540673,1.45120681433662,-0.643064422339013,1.30544986567896,0.92015794097831,-0.9097015554014,-1.08078875138077,-0.0869265572540673,0.440738849124442
"A2M",-1.52264251073286,-0.451874042823271,1.25360563101141,0.699103348238961,0.361935456405356,1.51514904204935,-1.00026240040067,-0.781615837598048,0.502551425743098,-0.361935456405356
"AAAS",-1.19073232254981,-0.142188359801171,1.47551790053171,0.0852014759679582,-0.772105876452661,0.592182501925326,-0.0852014759679582,-1.34748772473453,0.593533540215786,1.51935644197072
"AACS",0.784162088592976,0.534121489226341,-1.60030905974274,-0.434967661877109,0.0220234673189113,-0.682871632531158,1.6347819943147,1.58034190032806,-0.0935844376687711,-0.0220234673189113
"AADAT",0.136019874591163,-0.0105883231094296,0.0105883231094296,-0.0849308777299978,-0.0248197574259947,0.0508659358970115,0.122767842420864,0.14716727734347,-2.40971360287035,-2.22921866922114
"AAGAB",-0.12183286044105,0.12183286044105,-1.00460682096636,0.659614169475221,-0.300745993537684,-0.648449144610255,0.594345473401533,2.10317404311853,-1.40502246490328,0.541802236985055
"AAK1",0.695095988417853,-0.41437244075429,-1.84612391172219,-0.402957375380314,-0.791150658538815,-1.13135038133565,1.22338508741634,0.982695339544247,0.546005855321346,0.402957375380313
"AAMDC",-0.799296088416437,-0.27877750692751,-1.63041585259005,1.64872304045601,-0.553637572611775,-0.0609711061871369,0.190101051427291,0.060971106187137,1.08397144240379,1.20709783384746
"AAMP",-0.354082331668436,-0.777639376866788,0.422042641868469,1.69761148104823,-0.0225857346625734,-0.50620111486192,-1.54832850661725,0.0225857346625732,1.46728407955546,0.727840536890446
"AAR2",-1.78920538651281,0.39940228642948,0.351514320176085,0.0114449629686012,0.761280192053841,0.345281598102591,-1.11749419290422,-2.1494483020099,-0.661895440177078,-0.0114449629686014
"AARS",1.21283636595655,-0.321368690548677,-1.11922611545206,1.34602740353936,-0.675033603065506,-0.641704321343713,1.93757537019165,0.174544486934194,-0.174544486934194,0.321310152301963
"AARS2",2.15719463509932,-0.193421663787094,0.193421663787095,-0.365792892900267,0.525086637554205,-0.657669018813249,1.76400629234821,0.95196591371361,-0.593707273611266,-0.428213694886915
"AARSD1",0.420750294729213,-0.380651299912982,-2.03023302042121,0.800798206584281,-0.593094980544287,0.0181186862302038,-0.0181186862302032,-0.707637805658376,1.66831067734392,0.535459221372098
"AASDHPPT",1.8930654598973,1.76276532787408,-0.478992104754256,0.808774158352049,-1.17907425177693,-0.39594957960987,-0.415668495558479,0.450626390492186,-0.224327719379315,0.224327719379317
"AASS",-1.26589251373691,0.0137067588444605,1.1605005797525,-0.0958617553350998,-0.01370675884446,0.891333837571439,-1.22242659247308,-1.53474954542815,0.657692474117185,0.990901301867994
"AATF",0.286439217550849,0.639971664461925,-0.00389562397965507,-0.183753732476127,0.314454162695446,-0.564527508977318,-1.53411985828491,-2.31431241097126,0.00389562397965507,0.959943162699733
"AATK",0.496763845470694,-0.55057844518413,-1.81378404403566,-0.197638709754176,0.197638709754177,-0.859284839242067,0.954857206217795,1.06602017425089,0.7085612460185,-1.41140316108739
"ABAT",0.135060139435617,0.238228730768645,-0.308529338710699,-0.135060139435616,-1.13676434752295,-1.26906735080546,1.79056577990924,0.868004620323998,1.16964077036502,-0.783290358329766
"ABCA1",-0.528284623575175,1.03196332035256,1.30865298355348,-0.0723953717860376,1.62208896226187,1.23107395332113,-1.19330930153219,-0.947476013612666,0.0723953717860376,-0.15757661686863
"ABCA2",0.916288921185141,-0.959964000993185,-0.895155938831629,0.75660217761171,-0.999324977488328,-1.71440158137352,0.587339840389809,0.0669878304027901,-0.0669878304027895,1.29467173730402
"ABCA3",0.250958356786853,-0.250958356786853,-0.267172076743683,-1.92031792619196,-0.714764027093259,0.671821919522767,0.679985367686642,1.23741038890911,1.30158705813432,-0.688557753838637
