"","NX035","NX026","NX030","NX020","NX023","NX034","NX031","NX022","NX032","NX025","NX036","NX019","NX029","NX021","NX033","NX027","NX037","NX038","NX028","NX024"
"A1BG",0.670153487784046,1.72992625969361,-0.765284796347153,0.233328189919347,0.701097809854312,0.273815217907627,1.34661305376979,-0.233328189919347,0.243530587499526,1.19382293876026,-1.35232483607964,1.37524108050891,-0.996794578416685,-0.646328168471977,-1.37191502270736,0.371622033941129,-0.450459150915048,-0.526479826416214,-1.38738194578077,-1.21456840523562
"A2M",0.556488637333014,2.07998274665558,-0.724283311593704,-1.50398331151042,1.14107040026569,0.0709719270922526,0.924168067264029,-0.264621999570542,1.09666411608027,0.875123288608195,-0.564931699413444,-1.52788746228379,-1.36663772025888,-0.921985553889535,0.737515330453567,-0.482397634774379,0.23565432840736,0.367582040890933,-1.0201196531194,-0.0709719270922527
"A2ML1",-0.139898370909785,1.47138882484537,-1.13394651082944,-0.26126689011691,0.596084242747659,-1.24425177853415,1.27347261945557,0.467445804136174,-2.05875005270684,0.216279599327878,0.182542461298686,2.34455269013566,0.0552085325432585,0.517973919422163,-0.950317680224244,-0.177422577977897,-0.0552085325432582,-0.201745914535071,-0.111836589236551,0.88317363337886
"A4GALT",-0.894035710711101,1.29962103792768,0.152944517356504,-0.480808947366847,0.22287382687999,-0.380406105390009,-1.45136327722056,0.328632857522025,0.861521965117368,-0.00440290196299519,2.22676386451279,-1.38007723934262,0.763324610979301,0.588748914448561,-0.0816197288243076,-0.396291698000159,1.99708284148373,-1.14983779202489,-0.208054578702347,0.00440290196299518
"AAAS",0.0696907029049248,0.531278300254784,0.454206956120979,-1.4564140465597,0.496331953471823,-0.312496134982228,-0.385277870008052,0.0864311467451122,-0.668838656183611,-0.0696907029049248,-1.98888557825857,1.74907837362233,0.085054090306587,0.452974863396321,-2.68933180370455,-0.298110421940963,-1.10651816530323,-0.338988187416165,0.189416295486743,0.717124678555812
"AACS",-0.0906102157398691,0.83819147674207,0.0810384319609181,-0.842305388754415,1.13197330487981,0.927238883253561,-0.279501861362318,-0.427250936847169,1.44944577078917,-0.526399657190756,1.87732883764007,-0.742299999870786,0.950184046766278,-0.319699867579604,2.87854030108224,-0.387653949234093,0.751208440445647,0.267861083440893,-0.0810384319609181,-0.889072244813748
"AADAT",0.212479432039452,0.163363120759014,-0.308127386507328,-0.209145829383882,-1.01320222038429,-1.3561604644018,-0.639699844383726,0.40067201592872,0.306056481625026,-1.15435915285108,0.423100073148011,0.748848320961854,2.70176342911021,-0.00185159391053595,1.73944493657795,-0.277336838306313,-0.69208883231931,0.00185159391053595,0.921993667321303,-1.21854486765997
"AAGAB",1.54619938780715,0.809309912432526,0.050330396312698,-0.186094995014404,0.605378090923547,0.961071589837769,-0.437880756559161,-0.253399324955876,1.54199234028364,0.831922961476711,1.71285418686687,-2.78812449680221,-0.778377917216267,-0.211813743543764,0.558014935553162,-0.369428861046937,-0.139774363690144,-0.158343062655071,0.129060587986394,-0.0503303963126979
"AAK1",0.693098208541752,1.30973243968524,-2.28612686014874,-1.27256897621992,1.21559284659485,0.0471397340745265,-0.115721107674619,0.138036970319507,-0.0471397340745265,0.817804240553458,0.27590757326372,-1.26557123127233,-1.11936901802369,-0.869375519224336,1.0183990579057,0.220007697488021,-0.415937868883945,-0.841218443215977,-1.1013190385521,1.10469089436947
"AAMDC",0.557025341762411,-1.18581486521174,-0.670796729069709,2.43898157475435,0.119187368813967,-0.397806497769214,0.66974928409834,1.60215916467145,-0.316811154846483,-0.550735450546719,0.260429384424159,1.06839434331405,0.242826944745749,-1.66347877171982,-1.10373870424566,-0.119187368813967,-0.436869733355865,0.906136053062888,-1.00040754841684,0.174209607801404
"AAMP",1.29141968734935,-1.1240582573812,0.447904763565145,1.87088917258304,-0.692992452040771,0.0973923923137918,0.954411801598718,-0.979851478841089,-0.451295859389353,-0.683776252555432,-0.897061569303761,2.75453182866785,-0.0177442238358334,-0.26008653112042,-0.71719657536514,0.387472276192944,0.0177442238358334,0.338478576349227,0.0539587609020908,-0.518349323546007
