,NX035,NX026,NX030,NX020,NX023,NX034,NX031,NX022,NX032,NX025,NX036,NX019,NX029,NX021,NX033,NX027,NX037,NX038,NX028,NX024
A1BG,0.53,0.86,0.15,0.45,0.53,0.44,0.75,0.31,0.42,0.75,0,0.69,0.09,0.18,0,0.46,0.24,0.24,-0.01,0.04
A2M,0.78,1.63,0.15,-0.26,1.06,0.56,1.02,0.4,1.05,1.05,0.25,-0.26,-0.14,0.06,0.77,0.28,0.62,0.76,0.01,0.45
A2ML1,-1,-0.02,-1.59,-1.19,-0.56,-1.73,-0.15,-0.66,-2.19,-0.87,-0.86,0.5,-0.79,-0.55,-1.31,-1.01,-0.92,-1.14,-1.05,-0.34
A4GALT,-0.44,0.51,0,-0.3,0.02,-0.23,-0.73,0.08,0.3,-0.07,0.94,-0.66,0.24,0.18,-0.08,-0.22,0.77,-0.6,-0.16,-0.05
AAAS,0.1,0.18,0.16,-0.17,0.16,0.04,0.02,0.11,-0.02,0.09,-0.25,0.35,0.1,0.16,-0.3,0.05,-0.08,0.04,0.13,0.2
AACS,-0.51,-0.18,-0.44,-0.88,-0.06,-0.13,-0.63,-0.67,0.07,-0.75,0.25,-0.77,-0.1,-0.55,0.54,-0.61,-0.18,-0.41,-0.54,-0.75
AADAT,-0.13,-0.17,-0.35,-0.35,-0.67,-0.83,-0.54,-0.05,-0.09,-0.8,-0.04,0.08,0.86,-0.2,0.47,-0.33,-0.5,-0.24,0.19,-0.69
AAGAB,0.25,0,-0.24,-0.36,-0.07,0.06,-0.44,-0.36,0.25,0.02,0.33,-1.19,-0.46,-0.3,-0.06,-0.37,-0.29,-0.34,-0.23,-0.25
AAK1,0.17,0.3,-0.39,-0.23,0.26,0.05,0.01,0.07,0.03,0.22,0.1,-0.22,-0.15,-0.11,0.21,0.09,-0.03,-0.13,-0.18,0.24
AAMDC,0.03,-0.53,-0.33,0.64,-0.11,-0.26,0.06,0.36,-0.23,-0.33,-0.06,0.16,-0.05,-0.58,-0.4,-0.16,-0.25,0.15,-0.46,-0.07
AAMP,0.11,-0.32,-0.03,0.22,-0.23,-0.09,0.05,-0.28,-0.18,-0.24,-0.27,0.33,-0.09,-0.13,-0.19,-0.03,-0.09,-0.05,-0.1,-0.17
