"","C3N-03452","C3N-01197","C3N-02684","C3N-01365","C3N-01191","C3N-03446","C3N-03450","C3N-03026"
"A1BG",0.0661960573460791,0.394433948055235,-0.973376722637174,-1.33957203802678,0.810093103996667,-0.0661960573460791,1.75344937108109,-0.602604321890197
"A2M",0.396654326487672,0.1616673499006,-1.51045213647614,-1.00589515556935,1.37872689059458,-0.556253679645664,1.13580491696684,-0.1616673499006
"A2ML1",0.899697295185853,0.917704482967447,-0.928902420762912,-0.899697295185853,0.931479105664931,-0.98651412549338,-1.00318675391553,0.912083095306473
"AAAS",0.75243085125631,-1.84118812119401,-0.950537156526847,0.586972032835836,0.151057327572329,1.30944234381515,-0.151057327572329,-0.230057575449259
"AACS",0.360760950462215,-0.78687621399913,0.0387030051463469,-0.0387030051463469,-1.49491002499425,1.66124188085134,-1.20366603188033,0.146051749683273
"AADAT",-0.0776469740175855,0.0635929926871608,-2.08663737010703,0.0973174998916507,0.0507895142994574,-0.0507895142994573,-2.16775488937969,0.0866021585839437
"AAGAB",-0.14418510911714,0.930252063895603,0.59033515794077,-1.88618632820608,0.14418510911714,-1.23338521279172,0.329065231006921,-1.13023273195302
"AAK1",-0.424779729733821,1.20515483478596,0.964955557031086,2.11271252100455,-0.826960990333194,-0.395640434595012,0.0115953979385049,-0.0115953979385049
"AAMDC",0.198921565197617,-0.361451111517752,-1.40771719436797,-1.56504904314951,1.45986522030123,0.459520948689987,0.386113712297903,-0.198921565197617
"AAMP",1.37096817430077,-0.534890029485297,1.82943011595988,-0.00230754568565613,0.00230754568565578,-0.0153104170516397,-1.02525217934785,1.19625968590727
"AAR2",-0.937338706349569,-0.487391132070302,-0.500822209639171,-1.18330487108888,1.47685755365394,0.808246477399251,1.11177823912745,0.487391132070302
"AARS",-0.284888364959612,0.998358515803604,1.609836311683,-0.902826889392168,0.635699361847418,-0.728713989239927,0.284888364959612,-1.23176942849633
"AARS2",-0.0372523025079895,0.192810105048355,0.0372523025079895,1.14701549153601,-1.05022564446789,-0.82699278267324,-2.13739016715878,0.214203363528281
"AARSD1",-0.317687327176931,-0.0638995885123198,1.97864605951989,1.05345772970607,-0.854592382692081,0.0638995885123201,-1.0725705290175,0.403075297930554
"AASDHPPT",-0.952511829322954,0.724194807814361,1.08928814934271,1.51034190251514,-0.01505044474076,-1.38621693391274,-0.461327472924351,0.01505044474076
"AASS",0.379397242996939,-1.97115643433751,0.220100692633394,-1.48373509159416,1.08055622580299,-0.311056422272111,-0.00992881420749065,0.00992881420749065
"AATF",-0.136907296585241,0.0382559993365956,2.11061566793063,-1.33573952048724,0.556262577198976,0.872165741872938,-0.2698078711536,-0.0382559993365956
"AATK",-0.284619778549495,0.216097618096488,0.837108843507567,0.690617674155178,-2.29092236660717,-0.750124683912535,0.327399259149016,-0.216097618096489
"ABAT",0.418531790891381,1.78281869180852,1.10111064947902,-0.455699421740371,-1.36856091696817,-0.515843333973884,-0.318586866571616,0.318586866571616
"ABCA1",0.714454851458514,-1.91150827573334,-0.447434006841057,-1.12421744141111,-0.762557196282056,0.585190306063408,0.447434006841057,0.784166164379617
"ABCA2",0.127593651635627,-0.575128442633079,0.449276246802875,-0.127593651635627,1.87994182045823,-0.406019363259297,2.00311253970189,-0.133208827869616
"ABCA3",-0.0360883731208236,0.0360883731208234,1.00451906882699,0.145786685707819,-0.471030605931436,-2.42523280539976,-0.351397853278874,0.349238590810584
"ABCA5",-0.481776166870117,0.425869027002497,1.74370033222405,0.497848807758235,-1.10352645381987,-1.31237709938022,-0.425869027002496,0.428039147919864
"ABCA8",0.0559295968995176,-0.753923406090464,0.216839536881753,-0.874256777488479,2.11121442883218,-0.630604065485813,0.941742736056371,-0.0559295968995176
"ABCB1",1.13730771265575,0.245454444096856,-0.0314588658689741,0.0314588658689737,-0.42618436919814,-2.35029177394012,0.321149212895206,-0.15088712990913
"ABCB10",0.0477368369329538,-0.0477368369329538,1.34925540087036,1.44952027042136,-1.40997019868385,-0.668244281505282,-0.612715581263316,0.566268695266277
"ABCB6",0.241485851634435,-0.734227191865114,2.00431660689904,0.614814549643802,-0.0556848989028264,-1.20467174523653,-0.74418880231871,0.0556848989028264
"ABCB7",0.649069582506473,0.61868829750728,-1.36420811947483,-1.29540417361488,0.317288847590323,-1.91649201150439,-0.0272675354206136,0.0272675354206136
"ABCB8",-0.341196044220632,0.144352427167046,0.643785987586359,0.95195413270888,-1.05222339623358,-2.19762744733568,-0.129584125123157,0.129584125123158
"ABCC1",-0.305450421159204,1.60938323387606,0.169607378505566,0.742116751251755,-1.12825801745039,-0.169607378505566,-0.975189985024198,1.29446739561249
"ABCC10",-0.00377854015529449,0.168326331055153,0.00377854015529449,0.175257387748462,-0.0462287518639526,0.145963551506089,-2.76069067256979,-0.0622133720798423
"ABCC3",1.02469830946289,-0.394629504558559,-0.594606273344961,-1.24015006405907,-1.33472996932825,1.14985401525996,0.394629504558559,0.804888799857265
"ABCC4",-0.052893093703149,-0.756333322560351,0.142889704591996,-0.963896515145751,2.13033670068439,0.170278101901413,0.052893093703149,-0.95511261143385
"ABCC5",0.0524206105459281,-2.09154945010751,0.15530048100086,0.0286336557537748,-2.1448342335181,-0.0587279045183558,-0.0286336557537748,0.0749451858560238
"ABCC8",-0.0709921441356055,0.29994475273673,0.184435694622818,0.289103256757076,-0.0310450793362697,0.0310450793362698,-2.70399498059799,-0.0562271785677356
"ABCC9",2.16556350565291,0.0937464832634678,-0.0771242382682453,-0.0433100822010413,0.0433100822010416,-0.143827980729945,-0.163131813477714,2.03970087537006
"ABCD1",0.768655138280621,-0.883415328075909,-0.170546520188301,-1.88244193997419,0.924985431701922,1.09435315954617,0.0530055191207114,-0.0530055191207113
"ABCD2",0.0642658146729422,1.13168079423141,-0.0642658146729419,0.408866490382633,-1.96509136553227,-1.23916946078192,-0.830460962232116,0.272317857565282
"ABCD3",-0.0915704453372072,-1.50105467515222,0.0915704453372072,-1.37464623330793,1.10393133574828,0.713858256260161,0.928798857082327,-0.554960821331969
"ABCD4",0.854866319204127,0.651368261857008,-0.500289616264548,-1.85410001336865,0.131860882814241,-1.06947915213267,-0.131860882814241,1.03698114187037
"ABCE1",-0.905954702028428,-1.91329370895547,0.334397811088755,-1.71979428406983,0.494215867079064,0.0105963630099792,-0.0105963630099792,0.626939702447518
"ABCF1",-0.733807970925924,-0.279077781362275,0.386387916879976,-0.804003332939756,0.279077781362275,1.77984032884018,0.477825962291042,-1.45927014168615
"ABCF2",-0.251434119633588,0.89025903715671,1.40667182553491,-1.0312662246739,0.472791214464373,-1.29157955341998,-1.09526561907275,0.251434119633588
"ABCF3",1.42081706053611,-0.4514383387345,0.451438338734499,1.01668188573556,-0.655972455194467,-0.575475244471522,-0.752636470863752,1.66530190927019
"ABCG1",0.691649911444644,-1.22980089368663,-0.562290206568546,-0.0491470035553288,0.0491470035553285,-0.395440676943329,1.16367853837372,1.86295102577346
"ABCG2",0.0389956791424912,1.11614568902187,-0.0389956791424912,-1.24537892981857,1.95078186583019,0.493421921211403,-0.29609702258036,-0.570681773795281
"ABHD10",0.114296569096699,0.447326819378985,1.56587143987754,-0.00732617439283826,-1.41370490241287,-0.79007930170927,-1.41000794733915,0.00732617439283773
"ABHD11",0.677306064630391,1.80884675484613,0.632043425956626,-0.224941846716114,-0.796908935186778,-1.37894508686319,-0.505878021440854,0.224941846716114
"ABHD12",-0.0128703819230662,1.42106312612127,1.42651410036335,1.8559876622396,0.0128703819230662,-0.978566975640894,-0.0134637435583926,-0.233805944648416
"ABHD13",0.00391500802800592,-1.80675245543927,0.0959014095907273,0.0107312964308036,-1.85485964672075,-0.00378056975950559,-2.05176782325058,0.00378056975950559
"ABHD14A-ACY1",0.278716710360033,0.93382868500765,-0.317042184866785,-0.19258536360397,2.10385414817799,-0.889673568303414,0.19258536360397,-0.914553313408913
"ABHD14B",0.058465234402263,-0.348197830503247,-1.53715328366255,0.598663181817183,1.33185068511252,1.05194097253436,-1.12711606156471,-0.0584652344022629
