,C3N-03452,C3N-01197,C3N-02684,C3N-01365,C3N-01191,C3N-03446,C3N-03450,C3N-03026
A1BG,-0.42,-0.27,-0.79,-0.95,-0.06,-0.37,0.31,-0.72
A2M,-0.08,-0.24,-1.26,-0.96,0.6,-0.6,0.4,-0.47
A2ML1,0.33,0.43,NA,NA,0.53,NA,NA,0.41
AAAS,-0.31,-0.79,-0.57,-0.31,-0.38,-0.13,-0.39,-0.5
AACS,0.71,0.36,0.55,0.54,0.18,1,0.24,0.65
AADAT,0.4,1.18,NA,1.28,1.11,0.53,NA,1.35
AAGAB,-0.04,0.16,0.09,-0.34,0.04,-0.17,0.07,-0.23
AAK1,0.91,1.52,1.31,1.75,0.74,0.85,0.96,1.08
AAMDC,-0.05,-0.38,-0.91,-1.01,0.7,0.14,0.08,-0.29
AAMP,0.29,0.05,0.31,0.11,0.14,0.15,0.02,0.27
AAR2,-0.75,-0.62,-0.57,-0.74,-0.09,-0.21,-0.16,-0.38
AARS,0.17,0.31,0.35,0.09,0.29,0.15,0.23,0.06
AARS2,-0.02,0.04,0,0.28,-0.26,-0.16,-0.49,0.05
AARSD1,0.49,0.54,0.97,0.77,0.36,0.56,0.28,0.68
AASDHPPT,0.18,0.71,0.76,0.9,0.49,0.08,0.32,0.5
AASS,-0.72,-1.43,-0.69,-1.19,-0.45,-0.77,-0.7,-0.84
AATF,-0.36,-0.3,0.31,-0.67,-0.11,0.01,-0.32,-0.33
AATK,1.42,1.69,1.9,1.85,0.18,1.03,1.58,1.47
ABAT,0.72,1.28,0.91,0.31,-0.03,0.32,0.37,0.68
ABCA1,-0.25,-1.37,-0.68,-0.96,-0.83,-0.22,-0.29,-0.22
ABCA2,1.09,0.55,1.19,0.82,2.31,0.65,2.17,0.9
ABCA3,0.6,0.61,0.89,0.61,0.44,-0.22,0.44,0.75
ABCA5,1.16,1.58,2.05,1.51,0.83,0.69,1.05,1.63
ABCA8,0.56,-0.11,0.62,-0.19,2.18,0.04,1.14,0.47
ABCB1,0.71,0.52,0.43,0.45,0.41,0.07,0.5,0.46
ABCB10,0.47,0.43,0.75,0.79,0.08,0.28,0.27,0.62
ABCB6,-0.21,-0.46,0.23,-0.1,-0.25,-0.47,-0.38,-0.26
ABCB7,-0.02,-0.03,-0.51,-0.5,-0.08,-0.58,-0.15,-0.19
ABCB8,0.62,0.81,0.94,1.08,0.32,-0.12,0.64,0.83
ABCC1,-0.25,0.08,-0.15,-0.06,-0.35,-0.15,-0.29,0.03
