"","C3N-00439","C3L-01955","C3L-01962","C3N-02818","C3N-01803","C3N-00243","C3N-02261","C3N-01903","C3N-00496","C3N-03021","C3L-01279","C3N-01650","C3L-01865","C3L-02212","C3N-01653","C3N-02440","C3N-00958","C3N-01652","C3L-02210"
"A1BG",-1.70625323840693,-1.59397864767867,-1.34195739650955,-0.874725938767979,0.346415890967346,1.17465313875218,-0.0383970347038946,-0.446046511917691,1.081595984695,0.460610832977418,0.819790937883552,0.273563098503377,0.623292692609848,0,0.329196440322441,-0.594765952633358,1.88528532914295,-1.31589385730366,-0.309009003758197
"A1CF",0.588516391934419,0.722615673873571,0.408677274798007,-0.0656465461314182,-1.46607684708856,0.622716430172881,0.196481709897275,0.257402717504814,0,-0.0811395310739171,-0.617077229675451,-2.16440075069253,0.774443262321456,-0.18304546226137,-1.71322599930674,-0.0260668120685163,0.429310388554182,0.715331606827289,-2.41448768303694
"A2M",-1.47463542442175,-1.25578869986376,-0.579022669852514,-0.726896506404233,0.480238562309471,1.0506689489026,0.246468688625817,-1.32445612943115,0.530909038593285,0,2.09833915876512,0.576979458360269,-1.13479742535604,0.207170774613831,-0.251848465129816,-1.35114111591986,0.654639788561026,-0.669029593558624,1.13563994885252
"AAAS",0.852364741495754,0.559138601089951,-0.533195850418754,0.464296821947536,0.0633532000742247,0,-0.385666930177009,-1.5483574804206,-0.792131802586913,-0.216377753746267,-0.549689872110268,2.23008807360816,0.0652336399050159,-0.662780764747081,0.448724997053478,-0.506691793072689,0.364437317267615,-0.0931290921937477,2.68954538980541
"AACS",0.088407294471294,-0.02359320974831,-0.33863235981492,-0.880914053102556,-0.407245980623548,0.109711482988392,0.869046954484498,0.0211106596442778,-0.576069051597228,-0.610247450871309,-0.649767366783319,-2.7504180616963,0.27659670720511,0.717930304712632,1.85687834083033,0.731902620603738,0,0.0113676839077099,-1.87605476759911
"AADAT",0.556221888279976,0.474896878671037,1.06992118572038,-0.343751575146327,-1.94242096762223,1.61249821547733,0.0582602007416512,0.456227435848019,0,-0.0465805358044285,-0.358558698206942,-1.96324168491254,-0.0884071870177371,0.0791504807759262,-1.02894052512383,-0.305256156775991,0.300903646092274,1.09026088410026,-1.85754944050003
"AAGAB",0.523111816285093,2.56347693794752,-0.0113944695537988,-0.394049620553689,-0.215919785947724,2.0881311492178,1.6065505235498,0.22817395037657,1.61375060495152,-0.386460654968896,-0.132008068283584,-0.398849766576827,-1.02673666417717,0.797005578179848,-0.304944617202406,0.51571267282508,0,-0.0428563831728584,1.73726628697908
"AAK1",1.15967670214013,0.121494812712422,0.172836968260739,-0.483159324433025,0.101522191136604,-0.919705822218654,-1.05278715593172,0.948388504147772,-0.561453183687274,-2.93259018908547,-0.0234897444038004,-0.649655077595284,1.30643096077638,0.207800381949944,-0.0371208229721447,0,0.0882225837656819,0.363292952244087,-1.76251374386319
"AAMDC",-1.07377287616842,-0.209147683235062,-2.49391170625327,0.0787858843135265,0.447692145567951,-1.28084813650694,-0.841886309191183,-1.19145074922132,0.227820473210268,0.324530353983784,0.600106706292542,0.607853361471604,0,-1.36285229835051,1.59021297988236,0.17832036862104,-1.65243358350743,0.492263154027863,-0.0857711195787245
"AAMP",0.955405085481015,-2.20515460246645,-2.2370812966269,-0.959592523257373,0.561559354773702,0,0.511182623557026,-0.0954739628303507,0.424532286022541,0.877420729101517,0.317576278101674,-0.44917183694354,0.485765962725757,-0.883209070842528,-0.132991419264561,-0.338586582645122,0.87475507056273,1.54755395778357,-0.481008463476748
"AAR2",-1.34663189932987,-1.34788945144125,-0.963699474723714,-1.274167170835,0.785594727133486,0.582563175065658,0.24351620659359,-1.11688379229314,0,1.59235059672681,-1.22916820061416,0.767186402090763,-0.840901483816739,-1.84799723003249,0.763834096877244,0.907414881847085,0.442228023266532,-0.189479121862626,0.0643525930282238
"AARS1",0.814601341645478,0,-0.428129361354885,-0.926974858951265,-0.781585991613397,0.566658426425708,0.140848298188578,0.046987436781749,0.641452186280219,0.0337669015286247,-0.626815325206457,-2.54841562217612,-0.07141315613611,-0.461114618419467,-2.11141799472806,0.812774396132545,0.372800234066062,0.232688769578825,-2.17002747328925
"AARS2",0,0.907478209140551,0.404285862006603,-1.09077408384098,-1.5952315831397,0.0817041504226718,0.465804424103923,-0.000235370246258679,1.12580989349437,0.393239676153678,0.321549542813794,-2.13998460352816,-0.306158616593362,0.416728110436569,-0.506570564767868,-1.08477418229643,-1.49354078043694,0.375890621932356,-2.16921579694467
"AARSD1",0.592791225605675,-0.150282530658653,0.818280240750217,0.870122235747747,0.592791225605675,-2.39980237099848,0,-2.18293364456058,-0.0657956138424677,-0.345614392275718,0.421340874920878,-0.59390479639732,-0.0815272516755788,-0.214782424304231,0.173646751647686,1.97088735805588,0.70448790596974,0.11247913095219,-0.442618601809636
"AASDHPPT",1.25536471893086,0.0607251722504769,0,-0.906951823633766,0.739117361014033,-0.344001081291506,0.0642978211403329,-0.352617280798373,0.00324896337780654,-1.0227065537853,-0.313898511069187,-1.36783431722255,1.28980857641297,-0.822171898894054,-1.38140629548812,0.604965125840926,1.16054040881597,0.589672918984933,-2.45333551269397
"AASS",0.478649576885077,0.67033197927448,-0.157449674342169,-0.768894847439444,-2.02993034396545,0.246303268242204,-0.0789968272223408,0.598147567712852,0.187187308212829,-0.274122797597889,-1.35745231391865,-2.64003681434307,0.120337689967624,0.167904647390824,-1.05431467655176,0,0.000972360337308373,0.377573660404177,-2.26372696808735
"AATF",-0.521767281334434,0,-2.3263484426311,-0.766864970283707,1.3262176876203,0.0825591346633125,0.90676893751208,0.797768224220411,0.475346235446782,-1.98496174012569,-0.552468509784677,0.582900259234201,-1.11976120547505,-0.792725592471679,-0.0604470755313834,-0.434321242329827,1.27168525507355,0.239226408278557,0.492655249260668
"ABAT",0.341924748370307,0.327860178933254,0.0648624172394252,-0.313784834709147,-1.23802275992885,0.49279836734343,0.0233488501583666,0.587480755439488,0,-0.0350858757665383,-0.827058410496955,-3.11130832808276,0.266528503380654,-0.0496309968966789,-1.16231107386823,-0.106613769402911,0.167933929901119,0.432408779824236,-2.40617093225568
"ABCA1",1.6733874022308,0.0367127167335276,-1.11035219788682,0.0657188059480567,0.410502732470188,0.611699446128474,-0.718752093593834,-0.0378461788348579,1.50769049746829,2.43776085588951,-0.799876800744162,-1.36275892604137,-0.329565309635905,0.393481257932289,-1.34331788695816,0,-0.393756058355577,-0.0137258105436943,0.213535354345997
"ABCA2",-2.06195410602591,-0.846571655739382,0,0.0939772170993108,-1.10555252487379,-0.676717117307792,0.593728223174957,1.14296993949476,-1.42355919225223,-1.78728616658531,0.834803969262022,-0.688565069798144,1.13616652606637,0.398657034557138,-0.138409987237565,0.988631764972508,0.429612352246431,0.230089245671995,-1.22212898520304
"ABCA5",-0.170911533328191,0.181102816836615,0.304748534698096,0.184336107485745,-3.03116347524457,-0.603345108994913,-1.11829678170828,0.269972055489853,-0.105657280413993,-0.0761740531421328,0.158907608365731,-0.0124754695203972,0.223054260598486,0.121251321220326,0.0828849173824411,0.0462291915656819,-2.99906897420735,-0.82875140251501,0
"ABCA6",0.0681515456554723,0,0.0244276541145173,-0.395230208789348,-0.125852964084458,-0.106510161872492,-0.0472808357236374,0.34395272865285,0.0976834767397187,0.168760268131238,5.5080951436184e-06,-3.1234505408922,-0.122374157470638,0.0951166377699915,-3.15530059516493,-0.410196589347965,0.0631737494818481,-0.120530254485026,0.14709004161383
"ABCA8",0.356708747808681,0,0.906736513731628,1.01204528396142,-0.434204239732357,-1.34769078986582,0.506736921859934,-0.430737424738359,-0.417120362653615,0.447685581571269,0.442212247292011,1.39263833781346,-0.346152918308749,0.753170292559192,-2.08670956440017,-0.745368854743535,-0.295134162528549,0.717815992268408,-2.24576659182416
"ABCB1",0.271973460000227,0.114615930801842,0.382305546912542,0,-1.50231087060141,0.0533500826992478,-0.478105009889841,0.53569058596399,-0.415781811577591,-0.226147432614139,-1.64652353200544,-2.23917600614418,0.467273954966443,0.208825775444224,-2.45795502549332,-0.228722360678065,0.379337975447045,0.505271755921048,-1.96522766310019
"ABCB10",0.433290965250749,0.663132049256065,0.0225389005666402,-0.877113507145627,-1.4797927238763,1.04042099488162,0.513419377674833,0.492262205805377,0.042283509104363,-0.200468906573216,-1.01900214939621,-2.52545408478831,0.114887269622909,0,-1.01605732164531,-0.812836268017604,-0.105288575127447,0.94932550581127,-2.14080021517161
"ABCB6",0.557408186751261,1.5266777570982,1.12727878804835,0.123773424720807,-2.20161439912339,1.4155083717092,0.408106939538009,0.654202677121583,-0.666638747700198,0,-1.11367625694769,-1.03108866453253,0.667525241841982,-0.495140837035621,-0.596830714010862,-0.384832915596647,-0.308602670375897,0.822136971629839,-1.39829088330246
"ABCB7",0.447335057400704,0,1.42777252125131,-0.306929392251318,-1.51082064545331,0.767391924359162,0.0523324809743347,1.04513159150725,0.676520092694697,0.437052665203163,-0.859522573827962,-2.07421541049934,0.631433359853392,-0.338035048277154,-0.25383583342112,-0.559726132198133,-0.0503896450627122,0.363418476402026,-2.29998401566312
"ABCB8",0.396590837069718,0.252703391514444,0.817419486631828,-0.705317404058064,-1.26026391132332,0.940059920801953,-0.346190231880851,0.686376887478732,-0.0570134206447421,0.288619766379546,-1.04209456482182,-2.79034155401909,0.48752034806535,0,-0.874916273099159,-0.136890113505315,0.327128653442577,0.444971999192417,-2.10093994028416
"ABCC1",1.16256707436492,-1.83310845247041,0.0760825391266359,0,0.51788801140954,-0.462874727395593,-0.524781585542579,-0.685956294382909,0.731131358085533,1.16024235751281,-0.489001731778026,0.112232365361717,0.0311266301394264,-1.61124622206331,-0.785482682725691,-0.663513369246276,0.282479885165676,-0.460106965849965,2.45500131585332
