,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
A1BG,-0.89,-0.81,-0.73,-0.56,-0.11,0.19,-0.27,-0.42,0.15,-0.08,0.06,-0.14,-0.02,-0.24,-0.11,-0.47,0.44,-0.77,-0.35
A1CF,0.7,0.76,0.55,0.23,-0.76,0.74,0.42,0.46,0.27,0.21,-0.16,-1.2,0.81,0.13,-0.88,0.25,0.57,0.8,-1.41
A2M,-1.11,-0.96,-0.66,-0.73,-0.16,0.1,-0.29,-1.04,-0.15,-0.4,0.58,-0.12,-0.92,-0.29,-0.47,-1.04,-0.09,-0.75,0.13
AAAS,0,-0.03,-0.14,-0.03,-0.07,-0.09,-0.13,-0.25,-0.17,-0.11,-0.13,0.13,-0.08,-0.15,-0.03,-0.14,-0.05,-0.11,0.18
AACS,0.15,0.11,0.02,-0.13,0.01,0.16,0.39,0.13,-0.05,-0.06,-0.06,-0.65,0.2,0.32,0.63,0.34,0.12,0.12,-0.42
AADAT,1.09,0.96,1.56,0.18,-1.4,2.21,0.59,0.99,0.52,0.47,0.16,-1.36,0.42,0.57,-0.47,0.21,0.81,1.66,-1.3
AAGAB,-0.09,0.11,-0.14,-0.17,-0.15,0.07,0.02,-0.12,0.02,-0.18,-0.14,-0.17,-0.24,-0.06,-0.15,-0.09,-0.14,-0.16,0.03
AAK1,0.34,0.18,0.19,0.11,0.19,0.04,0.02,0.31,0.09,-0.25,0.17,0.07,0.35,0.19,0.16,0.17,0.18,0.22,-0.08
AAMDC,-0.63,-0.26,-1.18,-0.14,0.01,-0.73,-0.54,-0.68,-0.09,-0.05,0.07,0.06,-0.18,-0.71,0.44,-0.11,-0.85,0.01,-0.21
AAMP,-0.04,-0.44,-0.45,-0.28,-0.08,-0.17,-0.1,-0.18,-0.11,-0.05,-0.11,-0.21,-0.1,-0.27,-0.16,-0.21,-0.05,0.03,-0.22
AAR2,-0.24,-0.23,-0.2,-0.22,-0.04,-0.07,-0.1,-0.22,-0.12,0.02,-0.21,-0.05,-0.19,-0.27,-0.04,-0.04,-0.08,-0.15,-0.11
AARS1,-0.04,-0.13,-0.18,-0.23,-0.21,-0.07,-0.12,-0.13,-0.06,-0.13,-0.19,-0.4,-0.14,-0.18,-0.34,-0.04,-0.09,-0.12,-0.37
AARS2,0.01,0.21,0.1,-0.23,-0.34,0.03,0.12,0.01,0.27,0.1,0.09,-0.45,-0.06,0.1,-0.09,-0.24,-0.33,0.09,-0.47
AARSD1,-0.02,-0.15,0.02,0.04,-0.01,-0.58,-0.13,-0.53,-0.14,-0.19,-0.04,-0.22,-0.14,-0.16,-0.08,0.23,0,-0.12,-0.2
AASDHPPT,0.17,-0.03,-0.04,-0.18,0.09,-0.1,-0.03,-0.1,-0.04,-0.21,-0.08,-0.25,0.17,-0.17,-0.24,0.06,0.15,0.05,-0.43
AASS,1.16,1.24,0.67,0.25,-0.65,1.01,0.76,1.25,0.94,0.6,-0.17,-1.04,0.87,0.88,0.04,0.8,0.79,1.1,-0.81
AATF,-0.36,-0.25,-0.68,-0.39,0,-0.25,-0.09,-0.11,-0.17,-0.63,-0.34,-0.14,-0.46,-0.39,-0.24,-0.34,-0.02,-0.23,-0.16
ABAT,1.21,1.14,0.9,0.55,-0.36,1.39,0.9,1.46,0.86,0.82,0.04,-2.09,1.1,0.77,-0.27,0.75,1.01,1.32,-1.48
ABCA1,0.9,-0.51,-1.49,-0.49,-0.19,-0.03,-1.21,-0.6,0.75,1.55,-1.2,-1.62,-0.83,-0.21,-1.58,-0.56,-0.89,-0.6,-0.36
ABCA2,-0.34,0,0.23,0.27,-0.06,0.05,0.41,0.56,-0.16,-0.26,0.46,0.04,0.54,0.33,0.19,0.51,0.35,0.3,-0.1
ABCA5,-0.86,0.29,0.69,0.32,NA,-2.34,-4.06,0.6,-0.64,-0.54,0.23,-0.31,0.43,0.1,-0.01,-0.14,NA,-3.12,-0.28
ABCA6,0.12,-0.11,-0.03,-1.44,-0.52,-0.49,-0.28,1.07,0.22,0.46,-0.1,NA,-0.52,0.2,NA,-1.51,0.1,-0.55,0.37
ABCA8,0.79,0.64,0.94,1,0.52,0.23,0.85,0.53,0.53,0.81,0.79,1.04,0.54,0.87,-0.01,0.42,0.56,0.92,-0.07
ABCB1,1.2,1.06,1.22,1.04,0.21,1.1,0.79,1.35,0.81,0.91,0.13,-0.19,1.27,1.1,-0.29,0.91,1.23,1.35,-0.05
ABCB10,0.25,0.31,0.11,-0.17,-0.36,0.46,0.28,0.27,0.12,0.04,-0.21,-0.67,0.14,0.1,-0.2,-0.16,0.07,0.42,-0.57
ABCB6,-0.24,0.06,-0.06,-0.36,-1.06,0.03,-0.29,-0.21,-0.62,-0.41,-0.72,-0.68,-0.2,-0.54,-0.54,-0.53,-0.5,-0.17,-0.81
ABCB7,0.5,0.32,0.83,0.23,-0.2,0.63,0.36,0.72,0.58,0.49,0.03,-0.39,0.55,0.2,0.23,0.13,0.31,0.47,-0.48
ABCB8,0.73,0.63,0.9,0.21,-0.05,1.01,0.38,0.87,0.51,0.67,0.05,-0.73,0.75,0.51,0.12,0.47,0.68,0.76,-0.44
ABCC1,-0.06,-0.66,-0.28,-0.29,-0.18,-0.41,-0.42,-0.45,-0.15,-0.06,-0.38,-0.26,-0.29,-0.61,-0.42,-0.44,-0.24,-0.42,0.2
ABCC10,1.42,0.13,NA,0.28,NA,NA,NA,0.42,1.24,1.02,NA,NA,NA,0.04,NA,0.14,NA,NA,-0.15
ABCC2,1.05,1.25,1.44,1.23,-0.5,1.34,0.94,1.54,0.66,0.92,-0.46,0.9,1.04,1.17,0.86,0.6,1.91,1.49,-0.92
ABCC3,-0.65,-1.12,-1.52,-0.61,0.31,-0.5,-0.63,-0.92,-0.96,-0.76,-0.99,NA,-0.41,-0.55,NA,-0.53,-0.83,-0.33,-0.46
