,sample,Transcriptome,Proteome
1,01BR001,PDC000120,PDC000120
2,01BR008,PDC000120,PDC000120
3,01BR009,PDC000120,PDC000120
4,01BR010,PDC000120,PDC000120
5,01BR015,PDC000120,PDC000120
6,01BR017,PDC000120,PDC000120
7,01BR018,PDC000120,PDC000120
8,01BR020,PDC000120,PDC000120
9,01BR023,PDC000120,PDC000120
10,01BR025,PDC000120,PDC000120
11,01BR026,PDC000120,PDC000120
12,01BR027,PDC000120,PDC000120
13,01BR030,PDC000120,PDC000120
14,01BR031,PDC000120,PDC000120
15,01BR032,PDC000120,PDC000120
16,01BR033,PDC000120,PDC000120
17,01BR040,PDC000120,PDC000120
18,01BR042,PDC000120,PDC000120
19,01BR043,PDC000120,PDC000120
20,01BR044,PDC000120,PDC000120
21,01CO005,PDC000116,PDC000116
22,01CO006,PDC000116,PDC000116
23,01CO008,PDC000116,PDC000116
24,01CO013,PDC000116,PDC000116
25,01CO014,PDC000116,PDC000116
26,01CO015,PDC000116,PDC000116
27,01CO019,PDC000116,PDC000116
28,01CO022,PDC000116,PDC000116
29,01OV007,PDC000118,PDC000118
30,01OV017,PDC000118,PDC000118
31,01OV018,PDC000118,PDC000118
32,01OV023,PDC000118,PDC000118
33,01OV026,PDC000118,PDC000118
34,01OV029,NA,PDC000118
35,01OV030,PDC000118,PDC000118
36,01OV039,PDC000118,PDC000118
37,01OV041,PDC000118,PDC000118
38,01OV047,PDC000118,PDC000118
39,02OV005,PDC000118,PDC000118
40,02OV006,PDC000118,PDC000118
41,02OV008,PDC000118,PDC000118
42,02OV015,PDC000118,PDC000118
43,02OV022,PDC000118,PDC000118
44,02OV023,PDC000118,PDC000118
45,02OV029,PDC000118,PDC000118
46,02OV032,PDC000118,PDC000118
47,02OV036,PDC000118,PDC000118
48,02OV041,PDC000118,PDC000118
49,02OV044,PDC000118,PDC000118
50,02OV046,PDC000118,PDC000118
51,03BR002,PDC000120,PDC000120
52,03BR004,PDC000120,PDC000120
53,03BR005,PDC000120,PDC000120
54,03BR006,PDC000120,PDC000120
55,03BR010,PDC000120,PDC000120
