sample	TME
TCGA-61-2008	F
TCGA-29-1702	D
TCGA-24-2261	IE
TCGA-13-1500	IE/F
TCGA-29-2427	D
TCGA-36-1578	D
TCGA-13-1404	D
TCGA-61-2088	IE
TCGA-36-1571	D
TCGA-25-1329	D
TCGA-25-1312	IE
TCGA-61-1995	D
TCGA-61-1918	IE
TCGA-24-1464	F
TCGA-36-2537	IE/F
TCGA-36-1570	D
TCGA-25-1628	D
TCGA-30-1891	F
TCGA-61-1914	IE
TCGA-59-2348	IE
TCGA-29-1766	F
TCGA-36-1580	IE/F
TCGA-25-1631	IE/F
TCGA-61-1724	IE
TCGA-25-2397	D
TCGA-24-1430	D
TCGA-61-1911	D
TCGA-13-2060	D
TCGA-29-1710	D
TCGA-13-1504	IE/F
TCGA-61-2094	IE
TCGA-13-2066	IE
TCGA-24-1565	IE
TCGA-13-2061	IE
TCGA-29-1762	D
TCGA-24-1562	D
TCGA-24-1544	IE/F
TCGA-24-2290	IE
TCGA-25-1323	IE/F
TCGA-29-2431	IE/F
TCGA-25-2404	D
TCGA-29-1697	D
TCGA-13-1482	IE/F
TCGA-29-1771	IE/F
TCGA-61-1915	IE
TCGA-24-1548	D
TCGA-13-1492	D
TCGA-24-1103	D
TCGA-24-1474	IE
TCGA-24-1927	IE
TCGA-24-2024	D
TCGA-36-2530	D
TCGA-25-1318	IE/F
TCGA-25-2399	D
TCGA-29-1688	D
TCGA-24-2289	F
TCGA-13-1409	D
TCGA-24-1435	D
TCGA-24-1558	IE
TCGA-13-1501	IE/F
TCGA-29-1711	IE
TCGA-36-1577	D
TCGA-36-2534	D
TCGA-61-1910	D
TCGA-24-2030	D
TCGA-29-1693	D
TCGA-36-2547	D
TCGA-29-1785	IE/F
TCGA-61-1907	D
TCGA-36-2532	IE
TCGA-13-2065	IE/F
TCGA-23-1122	D
TCGA-24-1431	D
TCGA-29-1698	D
TCGA-24-1920	D
TCGA-25-1313	IE/F
TCGA-29-1690	IE/F
TCGA-29-1763	D
TCGA-13-1494	D
TCGA-61-1741	D
TCGA-09-1664	IE/F
TCGA-24-1553	D
TCGA-13-1497	D
TCGA-24-1436	IE
TCGA-24-1555	D
TCGA-25-2409	D
TCGA-24-1416	D
TCGA-24-2298	IE
TCGA-13-1511	D
TCGA-59-2351	IE/F
TCGA-61-1727	IE
TCGA-30-1887	D
TCGA-36-2544	IE
TCGA-61-2087	IE
TCGA-13-1485	D
TCGA-13-2059	IE
TCGA-09-2056	D
TCGA-13-1489	IE
TCGA-13-1507	D
TCGA-29-1705	IE/F
TCGA-29-1696	IE/F
TCGA-13-1487	D
TCGA-59-2352	IE
TCGA-29-1769	D
TCGA-13-1483	IE/F
TCGA-59-2372	D
TCGA-23-1121	D
TCGA-29-1768	IE/F
TCGA-24-1422	IE/F
TCGA-36-1569	IE/F
TCGA-36-2549	F
TCGA-13-1410	D
TCGA-36-2545	IE/F
TCGA-24-2033	D
TCGA-29-1770	D
TCGA-36-2542	D
TCGA-25-1623	IE/F
TCGA-24-1557	D
TCGA-25-2396	IE/F
TCGA-61-2613	IE/F
TCGA-25-1322	D
TCGA-13-1488	D
01CO008	D
20CO007	IE
05CO029	IE
11CO043	IE/F
16CO011	IE
14CO003	IE
11CO062	IE/F
05CO028	D
11CO042	IE
27CO004	D
16CO003	F
11CO053	IE
09CO019	IE
09CO014	IE
11CO021	IE
20CO004	D
11CO045	F
05CO047	IE
11CO005	IE/F
01CO019	D
01CO015	D
01CO013	D
05CO044	F
15CO001	D
05CO011	IE
11CO008	IE/F
09CO005	D
20CO001	IE/F
11CO022	IE/F
11CO019	IE/F
05CO034	D
11CO077	IE/F
22CO004	IE
11CO051	IE/F
05CO037	D
09CO008	IE
09CO011	IE
05CO049	D
11CO048	IE/F
01CO006	D
11CO061	D
11CO030	F
11CO036	D
05CO035	D
21CO007	D
11CO079	D
11CO018	IE
01CO022	IE
11CO054	IE
11CO052	D
11CO057	D
11CO047	IE/F
11CO007	F
09CO015	D
05CO015	IE
16CO006	D
11CO070	F
22CO006	D
05CO045	F
05CO039	D
01CO014	D
16CO002	F
05CO053	D
11CO033	D
05CO054	IE
11CO032	IE/F
09CO018	IE
11CO031	IE/F
01CO005	D
11CO039	IE
14CO005	D
05CO003	D
06CO001	D
06CO002	F
20CO006	D
05CO041	D
15CO002	IE
05CO020	D
21CO006	F
11CO072	IE
11CO044	IE/F
09CO022	IE
09CO013	D
11CO027	D
09CO006	D
05CO033	F
05CO002	D
11CO020	D
20CO003	IE
11CO037	IE/F
05CO032	D
05CO048	IE/F
05CO026	D
11CO010	IE
11CO058	D
05CO006	D
05CO050	D
04OV018	IE/F
17OV018	IE/F
17OV028	IE
02OV036	IE
01OV030	F
01OV029	IE
04OV023	D
02OV005	IE/F
11OV002	D
13OV003	D
04OV058	D
04OV004	D
26OV002	F
17OV033	IE
04OV031	D
17OV036	F
15OV001	IE/F
17OV015	IE/F
01OV026	F
02OV041	IE
02OV006	IE
04OV051	D
17OV040	IE/F
04OV048	D
04OV027	D
01OV039	IE
04OV045	D
17OV002	D
17OV001	D
04OV057	IE
20OV005	D
04OV039	D
04OV021	D
26OV013	D
17OV030	D
02OV022	D
02OV032	IE
04OV005	IE/F
17OV027	D
01OV017	IE
01OV018	D
04OV011	D
17OV029	D
14OV011	D
04OV001	D
04OV063	IE/F
02OV008	IE
17OV010	IE
26OV008	D
02OV046	D
04OV053	IE
26OV011	F
04OV044	D
01OV047	D
02OV029	D
17OV011	IE/F
17OV017	IE
17OV025	IE
26OV009	D
04OV040	F
04OV033	IE/F
04OV017	D
04OV055	D
04OV036	D
04OV008	D
04OV028	IE/F
17OV039	IE/F
04OV037	D
17OV014	IE/F
04OV054	D
02OV015	D
01OV041	F
04OV012	D
01OV023	D
04OV049	D
02OV023	F
01OV007	IE/F
04OV050	D
18OV001	D
04OV024	D
17OV013	F
04OV013	D
02OV044	D
01BR030	IE/F
01BR009	D
01BR026	D
11BR016	D
11BR042	IE
13BR009	IE
01BR027	IE
11BR014	F
05BR045	D
20BR001	D
11BR004	IE/F
06BR014	D
14BR008	IE/F
11BR018	IE/F
11BR009	D
01BR020	D
03BR005	IE/F
01BR033	IE/F
18BR007	F
11BR059	D
03BR004	IE
11BR019	IE
11BR040	IE/F
11BR032	IE/F
11BR038	D
18BR002	IE/F
18BR019	IE/F
18BR017	D
11BR080	IE
09BR007	D
14BR014	IE/F
20BR008	IE/F
05BR003	IE/F
03BR010	IE
11BR057	IE
03BR002	F
11BR050	IE/F
11BR047	D
05BR005	F
11BR022	IE/F
11BR003	IE
11BR056	D
03BR013	IE/F
01BR001	D
05BR001	IE
05BR016	IE
11BR058	IE/F
11BR054	D
01BR032	D
05BR004	D
01BR044	F
22BR006	F
09BR004	IE
21BR002	D
01BR031	D
01BR043	IE
05BR038	F
01BR010	D
20BR006	D
11BR078	F
11BR055	F
20BR005	D
05BR043	D
06BR006	F
11BR051	F
20BR007	IE
11BR044	IE
01BR042	IE
03BR011	D
22BR005	IE
11BR023	D
01BR040	IE
09BR005	D
16BR012	D
18BR010	F
05BR042	D
11BR024	IE
11BR028	D
03BR006	D
11BR074	F
11BR020	D
11BR043	D
05BR044	IE
06BR003	D
09BR001	D
01BR025	IE
11BR010	IE/F
01BR018	IE
01BR015	D
01BR008	D
11BR049	D
604	IE
11BR076	F
11BR017	D
15BR003	IE/F
05BR026	F
18BR004	D
11BR030	IE
05BR029	IE
18BR009	F
18BR006	D
11BR025	D
18BR003	IE
18BR016	F
21BR001	D
11BR012	IE
05BR009	IE/F
06BR005	D
11BR027	IE
11BR006	F
11BR072	F
01BR023	D
11BR073	IE
11BR013	IE
11BR075	F
01BR017	D
20BR002	F
11BR015	IE
11BR011	D
11BR031	D
11BR036	D
11BR053	D
11BR060	D
14BR005	D
21BR010	D
C3N-00326	D
C3N-00340	F
C3L-00601	IE
C3L-00143	D
C3L-00161	D
C3N-01219	D
C3N-01267	IE/F
C3N-01349	D
C3N-01537	D
C3N-00337	IE/F
C3N-00743	D
C3L-00932	D
C3L-00139	D
C3L-00098	D
C3L-00413	D
C3L-00921	D
C3N-00850	IE
C3N-01825	F
C3L-00145	D
C3N-00324	F
C3N-01521	D
C3N-01520	D
C3N-00379	D
C3N-00321	D
C3N-01212	F
C3L-01307	IE/F
C3L-01257	F
C3L-00947	IE
C3L-01256	F
C3L-01252	IE/F
C3N-00386	D
C3L-00008	D
C3N-00880	D
C3L-00449	F
C3N-00734	IE/F
C3L-00090	D
C3L-00942	IE/F
C3N-01346	D
C3L-00780	F
C3N-00333	F
C3N-00377	D
C3N-00389	IE
C3L-00137	D
C3L-00961	F
C3L-01304	IE
C3L-00006	IE
C3L-00767	D
C3N-01211	IE
C3L-00563	IE/F
C3L-00586	IE
C3L-00949	IE/F
C3N-00335	D
C3N-00323	D
C3N-00388	D
C3N-01217	F
C3L-01246	D
C3L-01312	F
C3L-01275	D
C3L-00946	IE/F
C3L-00770	F
C3L-00781	D
C3L-01311	IE
C3L-00156	D
C3N-00383	IE/F
C3L-01282	IE
C3L-01248	IE/F
C3N-00334	D
C3L-00605	D
C3N-00866	IE
C3N-00328	D
C3L-00358	D
C3L-00032	IE
C3L-00362	IE/F
C3L-01925	D
C3L-01744	IE
C3N-00729	F
C3N-01802	D
C3L-00963	F
C3N-00847	D
C3L-00771	F
C3N-00151	D
C3N-00836	F
C3N-00858	IE
C3L-01249	IE/F
C3L-00361	IE
C3N-00848	D
C3L-00918	F
C3N-01510	D
C3N-00322	IE/F
C3N-00200	D
C3N-00339	D
C3N-01003	D
C3L-00905	IE
C3L-00769	IE/F
C3L-00136	D
C3L-00416	D
