sample	TME
TCGA-13-1511	F
TCGA-29-1688	IE
TCGA-23-1122	D
TCGA-13-1488	IE
TCGA-24-1565	IE
TCGA-13-1507	IE
TCGA-24-1416	D
TCGA-29-1693	IE/F
TCGA-25-1322	F
TCGA-61-1741	D
TCGA-30-1891	F
TCGA-24-2033	F
TCGA-29-1770	D
TCGA-09-2056	IE
TCGA-29-1769	D
TCGA-25-1318	IE/F
TCGA-29-1768	IE/F
TCGA-13-1409	D
TCGA-29-1697	D
TCGA-13-2060	IE
TCGA-25-1628	D
TCGA-61-1724	D
TCGA-13-1410	D
TCGA-61-2088	D
TCGA-24-2289	F
TCGA-25-2399	D
TCGA-24-2261	IE
TCGA-29-1785	IE
TCGA-29-1696	D
TCGA-24-1430	D
TCGA-61-1910	D
TCGA-25-1313	F
TCGA-61-1914	F
TCGA-24-1562	F
TCGA-25-1623	IE/F
TCGA-24-1555	D
TCGA-24-2290	F
TCGA-25-1329	D
TCGA-13-1489	D
TCGA-36-1580	F
TCGA-25-2396	IE
TCGA-25-2409	IE/F
TCGA-24-1553	IE
TCGA-36-1577	D
TCGA-29-1702	D
TCGA-29-1710	IE/F
TCGA-13-1485	F
TCGA-13-1482	IE
TCGA-13-1487	D
TCGA-24-2024	F
TCGA-36-1578	IE
TCGA-24-1436	IE
TCGA-36-1569	F
TCGA-24-1431	D
TCGA-25-2397	D
TCGA-61-1918	D
TCGA-59-2351	IE
TCGA-24-1422	F
TCGA-29-1705	D
TCGA-29-2427	IE
TCGA-59-2352	F
TCGA-36-1571	D
TCGA-25-2404	D
TCGA-59-2348	D
TCGA-25-1323	D
TCGA-13-1501	D
TCGA-61-1907	IE
TCGA-24-2298	F
TCGA-13-1492	D
TCGA-29-1762	D
TCGA-29-1766	F
TCGA-29-1698	D
TCGA-61-2008	D
TCGA-61-1995	D
TCGA-25-1312	D
TCGA-13-1404	D
TCGA-61-1911	IE
TCGA-61-2094	IE
TCGA-36-1570	D
TCGA-24-1435	F
TCGA-25-1631	D
TCGA-24-1474	D
TCGA-24-1103	D
TCGA-24-1548	D
TCGA-29-1711	F
TCGA-24-1464	IE
TCGA-13-1497	D
TCGA-29-1690	F
TCGA-24-1558	D
TCGA-13-1483	F
TCGA-24-1557	D
TCGA-24-1544	D
TCGA-29-1763	F
11CO008	F
05CO003	F
27CO004	IE/F
05CO053	D
15CO001	D
11CO033	F
11CO031	IE
05CO034	IE
20CO003	IE
14CO003	IE
09CO015	D
09CO018	IE
20CO004	D
11CO047	D
05CO032	IE
20CO007	IE
11CO036	D
11CO043	D
05CO047	D
05CO037	F
15CO002	F
11CO048	IE/F
01CO008	D
05CO020	D
11CO054	IE
01CO022	D
11CO027	D
05CO050	D
11CO007	D
11CO062	D
11CO072	IE
06CO001	D
09CO013	D
06CO002	F
05CO028	IE
11CO018	F
05CO044	D
11CO020	F
01CO006	IE
09CO011	D
09CO008	D
05CO049	IE/F
16CO011	IE/F
09CO019	D
16CO006	D
16CO002	D
14CO005	D
05CO006	D
11CO030	IE/F
11CO051	F
11CO022	D
20CO001	F
11CO052	IE
22CO004	IE
11CO045	F
11CO057	F
01CO005	D
11CO010	D
05CO054	IE
11CO019	F
05CO041	IE
05CO048	D
01CO014	D
21CO007	D
05CO015	IE/F
09CO022	IE
11CO005	F
11CO032	D
21CO006	F
11CO061	IE
11CO039	D
05CO035	F
09CO014	IE/F
05CO029	IE
11CO037	D
09CO005	F
11CO070	IE
11CO021	F
05CO045	IE
01CO015	D
