"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"TSPAN6",565,156,404,251,234,298,329,374,525
"TNMD",13,3,3,11,9,14,14,10,9
"DPM1",1447,486,902,579,602,553,399,867,1391
"SCYL3",857,469,776,641,573,576,473,724,865
"C1orf112",215,245,223,235,204,183,189,254,183
"FGR",140,135,249,158,137,141,379,164,174
"CFH",629,457,621,562,804,574,1845,1164,1081
"FUCA2",447,283,515,325,236,270,354,335,464
"GCLC",2635,1497,2391,1653,1331,1346,1068,1546,2906
"NFYA",1779,1249,1468,1111,925,1283,1531,1166,1587
"STPG1",1704,537,603,679,568,633,592,716,1178
"NIPAL3",10634,5221,7788,4420,5462,4107,3496,5937,11171
"LAS1L",2043,1484,1825,2155,1400,2230,2384,1456,1454
"ENPP4",4954,2038,2799,2421,2037,1875,1620,2608,5216
"SEMA3F",285,173,201,222,262,346,688,231,206
"CFTR",132,237,228,165,171,92,83,121,148
"ANKIB1",8902,4344,6905,5223,4549,5005,5277,5306,8526
"CYP51A1",454,154,195,134,137,216,177,134,530
"KRIT1",527,372,340,389,344,402,276,426,471
"RAD52",855,1039,598,1019,672,1235,1455,615,565
"BAD",793,200,387,320,161,388,433,170,746
"LAP3",2328,826,1893,1203,1072,1387,2549,1442,2129
"HS3ST1",560,177,340,320,260,332,236,371,503
"AOC1",0,2,2,1,4,4,1,3,3
"WNT16",70,38,71,99,36,65,65,151,154
"HECW1",16202,6069,9193,7838,7419,8881,6298,8351,13138
"MAD1L1",117,92,75,104,86,122,206,67,85
"LASP1",6695,2156,4225,3671,2676,3228,4597,3376,6291
"SNX11",1311,472,770,580,552,649,664,647,1143
"TMEM176A",191,90,174,134,145,222,369,228,194
"M6PR",2818,987,1772,1242,1170,1054,914,1581,2657
"KLHL13",684,237,264,264,264,294,145,301,672
"CYP26B1",1384,499,1682,1252,759,698,1354,758,1922
"ICA1",5210,1899,3224,2562,2081,2740,1529,2366,4156
"DBNDD1",5252,980,1595,1885,1043,2437,1842,1036,3754
"ALS2",7542,4219,4001,4625,4263,4878,3520,5273,6751
"CASP10",317,148,185,223,236,132,615,169,308
"CFLAR",2286,2184,2437,2261,2197,2175,5285,2054,2127
"TFPI",148,107,142,159,150,293,434,182,157
"NDUFAF7",1567,888,886,984,906,1128,727,1087,1292
"RBM5",4541,4374,3037,4006,3331,4248,4380,3723,3837
"MTMR7",4178,1427,2639,1547,1860,1721,864,2048,4109
"SLC7A2",1389,1599,1632,2226,1066,2566,3491,1330,1314
"ARF5",4140,930,2435,1093,1192,1264,726,1392,3851
"SARM1",701,524,613,592,447,707,839,471,668
"POLDIP2",4257,1497,2925,1911,1771,1909,1958,1726,4117
"PLXND1",5725,2518,2316,2619,2458,3622,3883,1554,4605
