"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"TSPAN6",812,449,790,621,278,351,491,389
"TNMD",10,13,17,9,5,7,8,8
"DPM1",689,478,528,708,474,616,613,638
"SCYL3",853,755,958,923,537,775,1038,799
"C1orf112",481,386,404,446,230,217,682,250
"FGR",197,161,494,540,518,198,246,250
"CFH",3998,669,2144,5435,612,452,724,699
"FUCA2",835,647,805,891,342,493,933,467
"GCLC",1695,3334,2169,2141,1243,1904,4789,2069
"NFYA",1078,1335,1714,1283,836,1152,1842,1350
"STPG1",361,574,733,559,449,598,664,543
"NIPAL3",4816,11117,9306,7029,4314,8239,19219,7077
"LAS1L",1518,1884,2236,2022,1644,1776,2523,2198
"ENPP4",1308,2280,2197,2518,1302,2024,4817,2009
"SEMA3F",336,167,202,119,125,87,59,87
"CFTR",207,799,449,340,252,406,1281,473
"ANKIB1",4215,6934,7778,6493,4453,5934,12801,6339
"CYP51A1",359,261,258,241,184,296,328,253
"KRIT1",303,260,325,381,285,328,465,292
"RAD52",852,800,950,1044,752,776,1457,851
"BAD",333,254,369,434,220,303,209,324
"LAP3",1920,2457,2770,3258,1335,1736,2473,1630
"HS3ST1",332,226,420,554,286,275,374,243
"AOC1",34,10,15,18,0,9,11,3
"WNT16",19,42,27,75,41,85,37,107
"HECW1",3076,2865,4362,3117,5403,5712,694,6345
"MAD1L1",174,104,126,102,98,78,120,67
"LASP1",7762,2936,5136,4674,2017,2871,1894,3093
"SNX11",643,681,916,990,543,666,968,785
"TMEM176A",218,395,375,441,139,205,238,184
"M6PR",1760,1876,2750,3099,1233,1954,1990,2060
"KLHL13",137,296,446,714,138,316,232,375
"CYP26B1",595,692,907,1009,653,1275,161,1565
"ICA1",2767,1065,1978,1649,2291,1878,580,2638
"DBNDD1",517,608,935,878,720,889,286,1082
"ALS2",2715,3112,4510,4257,3766,4230,2753,4836
"CASP10",1240,426,725,783,291,250,462,230
"CFLAR",8214,4449,6126,5495,2823,3389,5136,2697
"TFPI",5454,277,529,580,108,102,156,115
"NDUFAF7",793,674,1027,1075,879,981,787,1180
"RBM5",3522,4421,5022,5534,3640,4017,7570,5315
"MTMR7",1011,1948,2168,2286,1289,2221,2482,2739
"SLC7A2",2275,1263,4025,3499,1086,1207,1076,1416
"ARF5",1113,1122,1685,1795,1157,1470,862,1876
"SARM1",620,601,740,667,421,584,412,593
"POLDIP2",2086,1829,2465,2286,1573,2111,1574,2344
"PLXND1",8813,4967,5292,4215,1125,2241,3880,2318
"AK2",2998,2503,2957,2883,1810,2019,3865,2189
"CD38",362,716,823,629,168,234,1022,342
"FKBP4",2082,2185,3255,2814,2379,2631,2395,3085
"KDM1A",2355,2744,3886,3886,2714,3474,2362,4228
"RBM6",4148,3333,5447,6065,3637,3858,4829,4552
"CAMKK1",3901,3109,5675,5945,3807,4937,508,6557
"RECQL",894,642,868,1123,445,525,1054,566
"VPS50",1845,1944,2597,2713,2054,2572,2116,3303
"HSPB6",44,39,39,20,17,18,21,11
"ARHGAP33",611,909,816,659,443,742,986,780
"NDUFAB1",875,842,1399,1541,1035,1343,790,1585
"PDK4",2828,7665,2484,1537,1502,2415,12593,3620
"SLC22A16",5,12,13,8,3,6,35,7
"ZMYND10",69,29,86,69,32,28,39,54
"ABCB5",12,9,26,37,10,5,8,11
"ARX",97,122,288,202,145,177,36,197
"SLC25A13",1453,1818,1446,1377,536,845,3222,769
"ST7",1126,572,1024,854,822,851,437,980
"CDC27",2641,2956,4369,4061,2632,3801,2903,4688
"SLC4A1",4,4,30,17,34,3,18,13
"CALCR",1,6,12,41,1,13,5,19
"HCCS",296,339,484,483,295,419,236,495
"DVL2",824,996,1087,1022,859,757,1348,806
"PRSS22",1097,1,2,3,1,0,1,1
"UPF1",3595,3617,4237,3710,1952,2987,3755,2621
"SKAP2",1052,1061,1307,1822,643,1444,1048,1411
"SLC25A5",2639,1705,3038,3066,2206,2194,1925,2449
"MCUB",281,248,398,476,64,201,241,193
"HOXA11",1,3,0,0,0,0,0,1
"POLR2J",448,383,531,496,284,310,394,387
"DHX33",947,969,1449,1211,738,1231,768,1179
"MEOX1",16,10,13,7,11,15,10,20
"THSD7A",1512,1709,3651,2994,1879,1774,935,3107
"LIG3",2505,2162,2525,1899,1428,1958,2246,2058
"RPAP3",860,937,1495,1257,736,1065,902,1245
"ACSM3",190,78,77,58,34,58,93,45
"REXO5",298,165,221,259,142,179,88,250
"CIAPIN1",1182,910,1288,1216,986,1198,826,1413
"SPPL2B",963,693,901,1035,800,852,995,1002
"FAM214B",1080,1617,1526,1593,816,1073,1652,1152
"COPZ2",318,154,397,443,110,182,245,138
"PRKAR2B",948,1413,2139,1944,1406,2406,403,3134
"MSL3",771,979,1461,1371,874,1054,1024,1235
"CREBBP",6254,5547,6863,4147,2458,4133,3966,3507
"TSPOAP1",3378,4382,7475,8735,6361,9945,1321,11783
"MPO",30,47,98,88,74,70,38,68
"PON1",244,77,80,62,56,59,77,61
"GCFC2",609,842,969,936,562,840,1044,911
"WDR54",332,570,541,478,368,521,653,655
"CROT",374,500,850,936,376,438,489,716
"ABCB4",97,239,171,320,90,80,132,124
"KMT2E",6466,6441,7750,5868,4569,6438,8011,6681
"RHBDD2",2442,3591,5608,5697,2343,5069,1761,5950
"SOX8",1259,4771,2087,2568,1189,2220,9872,1913
"IBTK",4321,3370,4141,4407,2802,3633,4950,4098
"ZNF195",1767,1593,1639,1426,1157,1440,1897,1685
"MYCBP2",15161,18281,26757,27613,18722,28173,12181,34660
"FBXL3",1707,1380,1777,1914,1057,1552,2033,1724
"ITGAL",206,331,482,951,135,97,531,80
"PDK2",783,1258,1637,1641,960,1273,972,1703
"ITGA3",3952,994,1942,1798,1084,1295,276,1505
"ZFX",1728,3135,3154,2894,2960,2185,4609,2410
"LAMP2",7088,18342,13798,14035,7035,10655,37470,9775
"ITGA2B",99,83,117,105,223,131,101,123
"ASB4",125,102,113,123,83,87,249,147
