"","C3N-00333","C3N-00383","C3L-01304","C3L-01311","C3L-01307","C3N-00858","C3L-00586","C3L-00601","C3L-00006","C3L-01282","C3N-01346","C3L-00932","C3N-00866","C3L-00361"
"TSPAN6",39.6099,35.8062,47.4163,43.8962,29.8287,48.1533,28.8811,35.5183,27.2941,38.4309,27.0626,44.0276,18.8008,56.2274
"TNMD",3.1768,4.573,5.0269,1.3031,2.7717,1.962,1.8839,1.6753,5.0939,1.3159,1.552,2.0531,0.7827,6.9302
"DPM1",106.7428,86.9414,86.2891,83.4691,115.9013,100.5517,71.8098,93.6097,95.7214,88.3724,77.8809,84.0658,110.9422,92.1819
"SCYL3",15.6683,16.8242,18.6716,14.9964,11.8583,13.9991,11.1382,15.6554,18.5334,20.012,11.9931,18.2071,8.4533,16.88
"C1orf112",8.5681,7.773,7.2269,6.29,5.8665,7.0116,4.7241,8.284,8.0182,7.7541,4.909,7.3028,5.2249,7.9042
"FGR",9.7996,7.8585,7.9088,8.2597,14.8993,5.6047,14.3527,8.2677,9.8558,5.9585,10.207,6.1854,14.875,7.0192
"CFH",42.5864,26.2078,49.8299,13.4513,22.8446,47.3858,22.4795,24.2415,32.0812,16.6525,18.6496,18.6686,17.0436,25.3341
"FUCA2",28.1332,32.7384,42.8794,35.8305,25.069,31.7811,29.7848,27.2312,32.9038,35.4175,26.4245,36.6833,21.474,32.4856
"GCLC",18.301,30.0928,20.2697,55.1677,14.8433,11.8019,12.4173,15.075,11.0362,17.974,10.2385,28.2324,9.6763,23.1674
"NFYA",39.4835,35.7548,30.4297,41.985,25.7634,32.6291,28.4134,37.9579,40.8383,31.7476,28.8116,39.1165,37.8378,30.4361
"STPG1",3.293,3.6803,4.1652,2.0984,1.9813,2.5674,1.9882,3.1624,5.1679,3.3661,3.0164,3.3767,1.4314,3.4808
"NIPAL3",10.1848,18.4643,21.8767,12.5549,11.6284,10.0588,10.8226,12.2983,17.5508,11.6365,8.9452,14.3154,8.6627,13.5773
"LAS1L",14.9388,12.298,14.7015,13.3498,12.6604,11.5609,10.3712,15.3625,16.9276,11.6351,11.7657,12.6288,13.652,13.5737
"ENPP4",11.6112,20.5753,24.8729,17.9075,8.6803,9.8451,12.2315,17.2847,15.4074,22.3237,6.1405,21.3861,10.9684,11.1585
"SEMA3F",9.4289,16.1061,20.1956,11.0263,12.6329,6.7099,14.2395,7.0355,11.3989,8.5022,12.4236,12.7407,14.6243,12.5773
"CFTR",0.8039,9.664,7.6381,5.859,1.5054,5.5255,3.5959,6.0936,2.2309,10.6392,3.3212,3.8149,2.8839,8.4347
"ANKIB1",50.4635,51.1699,54.2245,49.3454,45.6705,56.4966,39.8999,49.1817,60.3061,51.3683,37.6419,53.4208,39.4573,58.482
"CYP51A1",2.5064,3.1977,5.425,4.2304,2.9123,3.929,2.4763,2.8028,3.7639,4.6324,3.4919,5.7339,7.9461,4.84
"KRIT1",8.6229,9.1288,7.6925,7.2633,7.0123,7.9919,5.2502,7.2817,8.665,6.8746,4.7875,7.0431,5.6034,7.1394
"RAD52",23.6183,21.3601,23.3327,19.3224,17.5497,24.3603,18.7718,23.6975,30.5274,18.2959,22.7876,18.9514,15.8832,23.1229
"BAD",14.4126,12.4114,16.1429,15.4435,13.6702,13.2558,12.14,11.1366,12.9859,14.0253,15.216,13.8502,9.285,16.7235
"LAP3",53.8603,42.7714,54.5253,58.6795,48.1638,42.0346,51.9908,46.4604,56.2156,85.0992,45.4134,56.1207,55.6065,64.7067
"HS3ST1",6.6362,8.2699,7.1335,6.11,5.4487,4.0957,3.0239,5.283,7.0281,5.9976,5.2273,8.3093,2.6698,5.6199
"AOC1",0.1689,7.9113,0.992,0.7015,0.6062,1.8543,10.6598,1.1053,1.0922,12.9325,1.7735,2.427,0.5271,1.9371
"WNT16",2.3507,1.034,0.6174,0.449,0.9477,0.6184,0.7545,0.2914,0.4991,0.2975,0.7744,0.4792,0.7079,1.0052
"HECW1",0.1759,0.3784,0.3221,0.5455,0.2578,0.4219,1.5906,0.6825,0.054,0.4995,0.4081,0.8979,0.1281,0.6994
"MAD1L1",0.6633,0.8315,0.7095,0.8614,0.9109,1.056,0.9999,0.8813,0.8146,0.7612,1.3002,0.7842,1.2057,0.6674
"LASP1",30.9541,30.515,22.6766,23.5424,19.162,23.3277,28.1056,20.1636,28.874,20.986,35.6204,26.4006,18.8751,26.718
"SNX11",15.2385,12.7845,12.0348,9.0635,9.9226,9.6185,9.3227,10.8154,12.0065,11.181,12.0793,8.8221,13.0615,11.3707
"TMEM176A",3.7085,4.9442,4.9792,5.3999,4.936,4.6187,8.2941,8.0692,6.5232,13.6163,7.5654,4.189,11.0855,3.9133
"M6PR",68.0418,50.9824,78.6215,63.8181,62.1787,59.336,58.7471,67.7819,68.6495,71.4259,52.7505,68.0044,68.9915,65.7863
"KLHL13",71.741,59.2952,45.6106,51.3357,66.0015,49.3507,51.435,44.4004,52.9018,47.6098,43.9481,49.9893,43.0148,84.2831
"CYP26B1",1.2325,0.5258,1.4247,0.6757,0.199,0.525,0.4119,0.4362,2.7985,1.3071,0.7718,0.2339,1.1099,0.5965
"ICA1",10.0826,20.0002,28.8705,25.2276,11.1776,8.5725,17.0506,15.2701,10.7782,36.2303,10.4505,30.4089,7.0332,13.0629
"DBNDD1",0.3821,1.8909,2.4225,0.8211,0.5367,0.649,1.371,1.1723,1.011,2.8476,1.1861,3.0233,0.612,1.795
"ALS2",27.2694,24.4921,22.3782,21.015,21.9962,21.3041,17.1174,24.6195,27.1077,20.6938,20.8722,23.291,16.0084,25.8952
"CASP10",8.6029,11.2686,12.3126,12.8303,10.5559,6.876,9.966,8.6814,11.9177,13.5684,10.3262,11.0634,6.4004,10.5779
"CFLAR",36.7215,38.8054,36.9356,28.59,34.6364,25.1801,33.5041,37.0502,41.0843,32.2149,28.0812,31.3754,35.77,34.9353
"TFPI",37.663,29.6391,24.3353,21.9393,32.8884,28.8648,30.0648,24.82,41.0568,20.2981,21.6467,16.3978,48.8636,20.0264
"NDUFAF7",28.7796,27.038,25.9927,26.3401,27.8217,27.1126,24.545,28.8108,30.375,24.2058,18.8667,23.4007,26.8388,27.6467
"RBM5",73.9285,67.5237,69.9593,72.5403,64.414,63.3616,59.2251,78.5961,80.8822,65.6221,49.9268,73.5813,72.0686,69.5722
"MTMR7",5.0607,3.5622,4.231,2.3664,2.29,4.3447,2.4999,2.4436,8.6096,2.7452,2.6339,3.1465,3.6534,2.4515
"SLC7A2",31.4643,22.3739,27.6021,45.4292,24.3741,51.4655,129.554,43.8057,70.4145,186.2665,24.4525,66.6525,128.5546,27.137
"ARF5",58.5092,46.1737,60.8335,67.0477,54.3464,50.0567,55.9379,49.6119,51.1539,58.979,64.4933,64.1152,53.1744,60.3318
