"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"TSPAN6",0.0505285185444803,-2.80917282436479,0,-0.584946402377967,-1.4454536861709,-0.221796526801107,0.0805134891206239,0.206814673962734,0.050356292795025
"TNMD",0.114007687957462,-1.87205192354921,-0.32927617784986,0.618687745527147,-1.185108224246,0.857619180357108,1.34593956547416,-0.326718306661085,0
"DPM1",0.0247728097414505,0,-0.0697296057415777,-1.43036418778581,0.233876968399621,-1.65813207641225,-2.26455462075799,0.446027069435775,0.231750312304811
"SCYL3",-0.57192915655028,-1.11080535685785,1.25348492858553,0.593554565968013,0.660150553275738,-0.0930306939513842,-0.662447176161585,2.03022547744063,0
"C1orf112",-0.1772814768459,-0.520013607922046,0,1.3872803356707,-0.972629827582585,1.22657693541095,1.97936154107141,0.503985325319045,-0.40642983481147
"FGR",-0.583304166070407,-1.01996235105389,0.78660198650638,0.518269545004511,-0.805806585458749,0.490064122608539,2.22308127583793,0,-0.300986850553583
"CFH",-0.606856328183031,-0.602540132223308,-0.229049850521105,-0.0391088290000011,1.10495210984433,0,1.93563043264268,1.9448317100716,0.381787365370928
"FUCA2",-0.439301866041031,1.06250857662145,2.40518656911287,0,-0.667778439592596,-0.716695914597238,-0.190826595076081,0.646015994298138,0.0767990741073692
"GCLC",-0.135266285717936,1.47568020943207,1.11372136206855,-0.470897827947198,0.259402660308052,-1.10696115744044,-1.64933360453702,0,0.573934289559598
"NFYA",0,2.79086513586217,0.717159258193914,-0.362539464440364,0.6667804256905,-0.253827436107629,-0.448799090778111,0.553882736847827,-0.0460264298782156
