"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"TSPAN6",6.3943,5.0386,7.7022,5.113,6.3744,6.0954,6.2579,8.7769,6.3068
"TNMD",0.4521,0.2978,0.1758,0.6886,0.7534,0.88,0.8184,0.7212,0.3323
"DPM1",61.5433,58.9915,64.6257,44.325,61.629,42.5083,28.5214,76.4636,62.7979
"SCYL3",6.3918,9.9829,9.7497,8.6051,10.2866,7.7643,5.9291,11.197,6.848
"C1orf112",1.8488,6.0125,3.2303,3.6372,4.2223,2.844,2.7314,4.529,1.6703
"FGR",2.1251,5.8482,6.367,4.3168,5.0054,3.8681,9.6688,5.1619,2.8035
"CFH",4.0464,8.3902,6.7297,6.5075,12.4494,6.6737,19.948,15.5272,7.3816
"FUCA2",8.1315,14.6923,15.7818,10.6415,10.3336,8.8769,10.8231,12.6366,8.9595
"GCLC",15.6962,25.4493,23.9927,17.7233,19.0839,14.4909,10.6923,19.0961,18.3744
"NFYA",23.9638,48.0158,33.3114,26.9372,29.9915,31.2352,34.661,32.5688,22.6915
"STPG1",10.278,9.2439,6.1269,7.3717,8.2464,6.9005,6.0013,8.9552,7.5421
"NIPAL3",58.0996,81.4088,71.6785,43.4667,71.8298,40.5544,32.1021,67.2615,64.7849
"LAS1L",8.3536,17.3172,12.5705,15.8602,13.7787,16.4795,16.383,12.3449,6.3106
"ENPP4",54.7625,64.2943,52.1214,48.1704,54.1994,37.4598,30.0973,59.7803,61.2027
"SEMA3F",3.0316,5.2519,3.6018,4.2505,6.7083,6.6519,12.3,5.0953,2.326
"CFTR",0.6816,3.4925,1.9832,1.5335,2.1253,0.8586,0.7203,1.2956,0.8112
"ANKIB1",61.8474,86.132,80.8135,65.3149,76.0722,62.8455,61.6178,76.4406,62.876
"CYP51A1",6.6043,6.3934,4.7785,3.5086,4.7969,5.6788,4.3274,4.042,8.1837
"KRIT1",4.3607,8.7848,4.7393,5.7937,6.8514,6.0119,3.8383,7.3094,4.1369
"RAD52",9.7473,33.8045,11.4843,20.9098,18.4401,25.4461,27.8783,14.5384,6.8371
"BAD",23.8344,17.1555,19.5943,17.3117,11.6475,21.0766,21.8728,10.5951,23.7999
"LAP3",31.5745,31.9724,43.2504,29.3682,34.9965,33.999,58.1044,40.5548,30.6503
"HS3ST1",3.8666,3.4878,3.9546,3.9769,4.321,4.143,2.7386,5.3117,3.6865
"AOC1",0,0.0774,0.0457,0.0244,0.1305,0.098,0.0228,0.0843,0.0432
"WNT16",1.1009,1.7057,1.8811,2.8026,1.3629,1.8476,1.7182,4.9246,2.571
"HECW1",59.6872,63.8074,57.05,51.9728,65.7861,59.1304,38.9943,63.7932,51.3745
"MAD1L1",0.8307,1.8643,0.8971,1.3291,1.4698,1.5656,2.4583,0.9865,0.6406
"LASP1",48.6748,44.7346,51.7447,48.0392,46.8291,42.4154,56.1712,50.8955,48.5488
"SNX11",16.2838,16.7316,16.1113,12.967,16.5032,14.5692,13.8614,16.6641,15.0697
"TMEM176A",2.82,3.7923,4.3276,3.561,5.153,5.9239,9.1564,6.9803,3.0403
"M6PR",40.3526,40.3356,42.7445,32.0118,40.3267,27.2777,21.9969,46.9446,40.3857
"KLHL13",5.0284,4.9724,3.2694,3.4933,4.6715,3.9063,1.7916,4.5885,5.2439
"CYP26B1",14.1672,14.5777,29.0042,23.0681,18.7011,12.9134,23.2945,16.0894,20.8837
"ICA1",54.7735,56.9769,57.0971,48.4808,52.66,52.0619,27.0163,51.5787,46.3782
"DBNDD1",60.4247,32.1779,30.9127,39.0355,28.8835,50.6736,35.6176,24.7157,45.8448
"ALS2",37.0927,59.2179,33.148,40.9423,50.4654,43.3591,29.0958,53.7753,35.2432
"CASP10",2.1466,2.8602,2.1103,2.718,3.8466,1.6155,6.9993,2.373,2.2139
"CFLAR",5.2206,14.2343,9.3753,9.294,12.0767,8.9771,20.2849,9.7267,5.156
"TFPI",0.6486,1.3383,1.0483,1.2542,1.5823,2.3207,3.1966,1.6539,0.7303
"NDUFAF7",22.0332,35.6338,20.9859,24.9035,30.6628,28.6651,17.1802,31.6928,19.283
"RBM5",22.508,61.8736,25.3581,35.74,39.7408,38.0545,36.4876,38.265,20.1875
"MTMR7",30.9585,30.177,32.941,20.6329,33.1742,23.0478,10.76,31.4677,32.3187
"SLC7A2",9.0203,29.6352,17.8535,26.0196,16.6629,30.1169,38.1025,17.9099,9.0577
"ARF5",116.4547,74.6587,115.383,55.3395,80.7066,64.2599,34.3225,81.1931,114.9835
"SARM1",3.2406,6.9131,4.7736,4.9258,4.9738,5.9069,6.5185,4.5149,3.2778
"POLDIP2",81.8487,82.1431,94.7372,66.1344,81.9602,66.3362,63.2713,68.8133,84.0223
"PLXND1",30.752,38.6007,20.9567,25.3216,31.7802,35.1628,35.0551,17.309,26.2563
"AK2",9.8725,21.1428,14.2947,17.4434,17.2542,18.5368,19.8106,17.6955,10.0547
"CD38",3.0995,2.2221,5.9149,7.937,4.6312,3.748,9.1853,6.07,3.6396
"FKBP4",71.9674,83.9376,45.0731,52.026,65.3366,54.2522,60.895,75.7701,62.0056
"KDM1A",60.4233,69.5912,66.3846,55.8654,67.7564,59.8979,41.0618,68.9377,59.9301
"RBM6",37.2411,96.1463,40.4725,72.2854,61.3001,62.5781,74.4111,52.634,33.8563
"CAMKK1",106.8567,107.4811,93.8309,72.8594,100.1088,82.6822,52.4662,88.6767,70.4579
"RECQL",9.6721,13.259,14.1193,11.7855,12.9483,10.8027,10.8905,15.9716,11.9104
"VPS50",31.8089,31.6803,25.3943,25.3067,34.9405,24.3234,15.1094,39.0763,35.0523
"HSPB6",2.1142,2.4645,1.6553,1.1255,0.3584,2.5832,4.1538,0.9262,1.0746
"ARHGAP33",17.7723,22.004,26.338,22.3274,16.2326,25.3117,35.8402,18.578,14.8141
"NDUFAB1",124.0281,88.3968,97.4274,63.8094,83.5741,79.115,35.5037,96.7533,132.9187
"PDK4",14.0428,65.9994,62.6509,44.9602,28.172,28.1771,61.6143,182.1164,18.3955
"SLC22A16",0.0394,0.1125,0.0443,0.0473,0.2846,0.0712,0.0662,0.109,0.0139
"ZMYND10",1.4393,2.3835,0.9878,1.7911,0.9837,1.67,1.4634,1.916,1.5278
"ABCB5",0.0555,0.0791,0.0093,0.0898,0.0534,0.0301,0.0652,0.0115,0.0118
"ARX",8.3581,6.2574,13.5799,7.7743,6.7854,10.0706,12.9668,7.6572,9.6593
"SLC25A13",8.4406,21.9564,14.4519,11.8553,15.1209,10.0033,10,12.3091,9.0623
"ST7",9.5261,16.3659,12.6417,13.7483,15.9616,12.4826,11.2245,16.9803,8.3498
"CDC27",65.0498,65.7181,76.5807,53.8781,76.2142,52.1821,28.2329,74.8452,73.0167
"SLC4A1",0.1202,0.3145,0.7087,0.1983,0.3858,0.2353,0.5387,0.0623,0.0532
"CALCR",0.4864,0.2082,0,0.0657,0.2927,0.0879,0.0409,0.1513,0.3743
"HCCS",28.33,21.6354,24.6922,19.2848,24.9978,18.6907,12.0415,23.3979,29.4666
"DVL2",11.8571,21.2837,15.1796,19.6229,17.8346,17.2623,21.1603,14.484,10.3636
"PRSS22",0.0431,0.0615,0,0,0,0,0.0362,0,0.0229
"UPF1",36.5871,48.4827,36.4352,34.932,42.2742,41.6337,49.193,44.8619,30.9162
"SKAP2",30.1254,27.4104,24.8901,20.2176,30.7703,25.631,9.5115,34.0733,33.9286
"SLC25A5",217.6568,142.0795,183.5781,146.1781,170.9251,121.9569,94.9346,127.7391,218.5598
"MCUB",2.0505,3.2557,2.7975,2.9111,3.2325,1.853,3.422,5.1802,4.0926
"HOXA11",0,0,0,0,0,0,0.0323,0.0399,0
"POLR2J",22.8453,22.1654,28.4644,18.6166,24.1659,19.9255,23.8143,23.8038,21.5551
"DHX33",19.5801,25.0043,22.4075,19.7604,21.8784,18.8157,16.9905,21.9923,16.143
"MEOX1",0.2112,1.3697,0.9379,1.0712,0.9242,1.1797,1.7101,0.836,0.1426
"THSD7A",23.4985,12.5432,15.4965,19.993,18.9064,19.1491,12.2217,14.4551,18.641
"LIG3",10.4295,15.3197,10.2894,11.6245,13.4474,11.4492,10.7473,14.2169,9.4697
"RPAP3",23.672,29.1099,24.521,22.3317,28.1544,23.6547,14.9658,28.4727,24.6585
"ACSM3",0.1162,0.3512,0.2764,0.3568,0.3784,0.1606,0.1264,0.241,0.1306
"REXO5",4.508,4.134,4.712,4.1582,3.9976,4.4235,2.8123,4.4537,3.8704
"CIAPIN1",41.3963,34.9055,34.5605,30.072,42.0041,30.4697,19.6633,39.3324,43.4897
"SPPL2B",9.9779,18.2073,13.7777,14.0738,14.2402,14.4067,20.3748,9.6563,9.9375
"FAM214B",13.6412,13.5591,22.2469,15.7408,15.6419,14.7866,17.4453,13.0745,13.6505
"COPZ2",3.5764,6.7522,5.8394,4.8528,4.3705,4.8727,6.7044,6.2751,4.7015
"PRKAR2B",101.3103,98.6916,114.4383,66.992,98.3128,78.4127,26.1347,117.7636,97.6798
"MSL3",11.5164,13.0179,10.7876,9.7598,12.7482,10.1793,9.8189,11.2,10.9372
"CREBBP",31.533,49.7856,37.5321,36.5868,34.6212,38.2354,47.9359,32.3426,26.2053
"TSPOAP1",70.4339,73.9421,81.7171,85.8458,81.1326,98.1652,111.2862,66.2866,63.8735
"MPO",1.7757,1.2046,5.0754,2.1221,1.7867,1.6836,0.8562,2.2032,1.9312
"PON1",0.8694,2.0402,1.3344,1.7736,2.6973,2.165,2.1107,1.9631,0.6768
"GCFC2",13.4119,25.8843,23.4007,21.9415,27.9843,21.7258,21.088,24.5952,15.224
"WDR54",15.0299,18.596,20.5279,9.7196,13.7776,11.9391,6.5345,12.7276,18.6668
"CROT",11.4696,10.7351,11.3919,9.2309,11.7752,8.6558,7.8247,12.0834,10.3527
"ABCB4",0.7041,0.8342,0.9288,0.6337,1.0713,0.8404,0.6922,0.7025,0.5993
"KMT2E",56.8774,96.5723,83.8617,68.3188,71.737,71.1729,61.1385,76.4479,51.6101
