"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"TSPAN6",7.7603,15.8416,20.2314,12.3006,19.2332,14.759,24.4986,17.7701,26.6143,19.5986,26.2827,6.0622,11.7722,9.6579,10.644,13.971,14.1183,23.5982,14.6526,14.373,10.6021,18.1964,14.9216,36.7426,25.4492,13.6543,12.2589
"TNMD",0.3434,2.3521,5.6737,0.2216,2.1347,0.5516,2.8245,0.4799,1.2028,0.6495,0.931,0.0377,0.203,0.262,0.217,0.8364,0.5817,0.3111,0.2804,0.2129,0.7996,0.8379,0.5525,1.4499,29.6789,0.6714,0.1179
"DPM1",30.3305,36.4783,54.2337,28.2625,50.1202,49.1354,82.9513,40.9576,63.0292,74.5194,70.5827,18.5856,35.2039,35.5262,28.193,33.5358,59.816,70.3169,34.6302,33.5804,51.8824,38.3982,34.1968,57.6581,98.3659,38.6908,39.7976
"SCYL3",4.4677,8.4223,11.4976,5.988,12.6343,10.6908,12.3817,7.3073,12.3233,12.1687,14.2786,3.3319,5.1633,3.4885,4.0598,7.5494,13.213,13.9126,7.3113,7.1364,10.384,10.4502,6.3339,17.2122,13.0839,8.7285,5.8979
"C1orf112",0.9151,1.9568,4.0914,1.4011,3.4129,4.0177,3.9838,2.1443,5.4299,5.5914,4.8115,0.6154,1.556,0.9456,1.0327,2.6695,4.3508,4.911,2.9392,2.2631,3.966,3.4673,2.0174,5.549,5.0388,2.5314,1.8512
"FGR",3.0809,13.9638,16.4253,7.033,18.2186,16.4804,14.0444,3.7852,19.8698,26.9302,11.1247,2.1397,1.9315,3.2698,1.7283,5.0994,27.314,19.2967,4.4052,14.0903,13.4565,18.4579,1.8733,25.1335,16.2326,10.7866,0.8877
"CFH",9.5916,88.9216,97.1156,45.1078,54.1714,119.9304,268.0358,41.5005,111.9944,235.4849,86.2923,5.5106,17.3184,13.8382,13.124,33.6409,108.4786,56.4906,21.8437,49.0984,124.8277,38.2486,18.8187,86.3944,174.2617,73.322,22.2187
"FUCA2",16.5452,20.2301,32.5936,18.215,29.327,25.2766,32.8637,20.5841,31.595,41.1999,29.9571,12.9003,15.0358,14.551,16.2293,19.222,31.7454,34.8399,19.0939,21.4884,37.1674,23.8046,16.9381,34.5193,33.1781,27.3686,16.0042
"GCLC",6.8556,9.5978,10.2761,5.5308,13.2918,7.9499,12.9342,8.7307,22.9807,22.1076,13.211,5.2189,14.861,7.4164,8.1295,7.5098,10.7273,14.6887,9.3354,8.3125,9.9967,14.5324,7.6573,17.1638,15.282,8.7176,8.795
"NFYA",9.7096,17.0479,20.1431,11.6978,25.4275,17.1723,24.5862,9.0418,25.5352,28.3354,26.5611,6.8649,12.3447,8.7457,10.3893,14.6165,23.3193,25.5232,15.9197,14.4141,23.3801,20.3428,12.6248,20.5972,18.9686,17.1783,11.634
"STPG1",1.1713,2.3114,2.7797,1.6197,2.7806,1.9941,2.4411,1.6528,2.3254,2.0481,2.3448,1.4389,1.9083,3.3936,1.2512,1.6571,2.4885,2.8128,1.6533,1.8212,2.5913,2.6539,1.7541,2.7759,2.3968,2.1177,1.6104
"NIPAL3",8.278,13.1195,14.0524,10.7276,16.3046,11.8973,14.5836,11.8044,13.842,13.2923,14.2202,8.1636,13.2478,11.1643,7.5245,11.0884,14.7814,17.9679,11.5398,12.0661,12.5916,15.0264,13.626,16.5444,12.1758,11.4037,9.5394
"LAS1L",3.5798,4.7139,6.6202,3.99,6.7982,6.6392,6.5485,3.5547,5.8552,7.1224,5.6286,4.2164,4.1052,2.6578,2.6562,4.106,7.8023,6.06,3.705,4.6214,7.8959,6.4083,3.5674,6.1567,7.9591,5.2884,3.8468
"ENPP4",7.3373,12.6017,23.3675,9.68,22.133,14.7799,35.6136,16.6486,20.9407,23.3279,34.4212,4.1353,9.9627,9.0253,8.9051,9.3364,25.0685,31.1139,13.9732,12.1782,19.2341,14.8717,12.1432,32.1279,31.5777,8.0688,13.07
"SEMA3F",1.7622,4.1335,5.7698,2.1012,6.3257,5.7876,6.7125,2.3591,4.0602,5.6166,3.7285,1.5341,2.1608,1.4021,1.5347,2.6434,7.2651,4.716,3.0871,3.8738,7.6419,4.505,1.1048,3.8313,11.4146,5.2105,1.5688
"CFTR",122.4264,324.2869,468.8042,338.9018,471.2553,163.9529,129.8528,217.4428,522.5718,172.3131,614.3769,132.0729,235.6489,157.9914,168.9108,259.4133,46.7238,552.2045,285.1896,384.0777,4.2585,506.076,272.0585,685.4853,23.6666,256.4533,237.6713
"ANKIB1",14.7264,20.9414,37.486,16.228,33.6016,33.1647,47.2638,24.0637,46.5317,61.7369,43.2587,12.7842,18.9469,13.2967,16.1621,21.1884,39.113,38.8352,26.4249,21.9699,38.522,27.5826,17.8194,37.674,56.6266,27.2002,17.6598
"CYP51A1",3.176,5.2779,5.715,2.5424,6.1704,3.354,2.8081,2.4088,2.4036,2.9143,3.0593,2.713,2.0888,2.1584,2.11,2.7668,5.4745,7.6202,2.5565,3.6207,5.5179,3.0619,1.7775,3.2261,3.1433,4.6685,1.8124
"KRIT1",2.1515,2.4959,4.252,2.109,3.3858,3.9166,7.8764,3.2216,6.3591,8.3307,6.3387,1.8842,3.2651,2.3247,2.6264,2.5266,4.821,6.1001,3.4287,2.49,4.1017,3.326,3.4378,7.2852,7.9549,2.6256,4.0046
"RAD52",6.1287,10.3774,10.895,8.0114,13.3878,12.2943,13.1738,7.1129,12.7768,13.026,9.7648,6.4899,7.2402,3.9155,5.0765,7.9257,11.5522,10.6621,8.0325,10.0709,13.1205,12.1716,7.6896,14.2383,12.6508,10.2745,7.131
"BAD",3.2645,6.8721,10.419,7.0314,9.6336,11.7331,8.923,4.5919,5.8901,5.46,6.9723,3.3568,3.5439,2.4223,3.4924,6.4613,11.6883,7.1042,5.8637,7.7875,14.9851,8.6893,4.2235,9.5223,9.9068,10.1897,1.9106
"LAP3",10.0144,33.8058,64.5874,23.4822,65.2448,73.3803,74.3194,26.9508,74.8907,84.9684,54.0057,6.8827,19.9664,11.6559,10.7886,22.1495,122.9555,88.6018,25.8915,33.9932,74.9485,44.955,15.7609,51.9936,86.7524,67.8596,11.9324
"HS3ST1",1.7044,3.5354,4.2895,1.7221,6.206,4.4811,2.9415,2.2799,3.1395,4.2904,2.5346,0.1572,0.4433,2.2102,0.8777,2.4202,7.2276,3.7492,3.6514,2.3736,3.3532,2.1187,0.5231,1.8191,2.7689,3.9819,0.6086
"AOC1",2.9455,4.4539,3.2626,1.0491,21.5268,3.2586,2.3647,5.1054,1.511,2.187,1.1234,0.147,0.7123,3.9728,0.4124,9.6242,7.6543,3.9672,4.8971,2.3514,11.7673,3.3871,1.4912,1.2661,0.7201,4.9568,0.9539
"WNT16",0.2588,0.4727,0.5987,0.1575,0.236,1.2471,3.8108,0.4806,0.7655,0.534,0.2606,0.0171,0.3489,0.2369,0.1349,0.298,2.3018,0.422,0.6086,0.1444,2.1016,0.6182,0.2114,0.6294,1.4688,0.74,0.1866
"HECW1",0.0889,0.2847,1.1669,0.2582,0.1558,0.6157,4.6249,0.4539,2.0243,3.1397,0.4649,0.0559,0.0344,0.086,0.1006,0.2819,0.9294,0.5413,0.4455,0.5787,1.0904,0.4298,0.0675,0.6634,2.6714,0.5956,0.1405
