"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"TSPAN6",2.52551479488329,-0.0545348056521868,0.585749478490335,0.0545348056521868,-0.399227024405204,-0.488108034297961,0.643797621047246,-0.442517992605657
"TNMD",-1.83382017157297,-1.49998259027917,0.48921808221305,-0.413091650535036,0.84130285946222,0.413091650535036,-0.658302374167984,0.499633338184757
"DPM1",1.86651547554622,0.670104340444574,-1.16290826352571,0.0975072375172735,-0.585939426305694,-0.0975072375172735,1.28321863581964,-0.307419805253786
"SCYL3",0.125695061513487,0.212206836699742,-0.328689083479735,-0.353563600286187,-0.346014541569865,0.0999012403286031,2.65497662769337,-0.0999012403286031
"C1orf112",-0.0173728747071327,-0.241525265004344,0.23209641318787,-0.0231279911244508,0.528718004260257,-0.10468282810074,2.80610482689583,0.0173728747071327
"FGR",-1.144460689433,-1.17034713071036,0.584905869561869,0.916362862335254,1.78494743705303,-0.177293001283506,0.0030650502093221,-0.00306505020932198
"CFH",2.335407844413,-0.105634641518104,0.331072219466576,1.92058574164309,-0.00213733098904154,-0.144637047026657,0.00213733098904154,-0.0585648259565419
"FUCA2",1.3078819272326,0.785413560814142,-0.2950595489387,0.2950595489387,-0.770859795824501,-0.516676250662734,1.90561886105515,-0.71128916770221
"GCLC",0.0757572854513525,1.63850812827579,-0.154394577330636,-0.027384918604493,-0.206213452111142,0.00987619295932127,2.45562365758458,-0.00987619295932127
"NFYA",0.399068150218531,1.49689680586664,0.00986784513083425,-0.117831240936315,-0.457136233512702,-0.0976272794109631,2.46293947858456,-0.00986784513083425
"STPG1",-2.52428555420493,-0.689248182257043,0.016019105711894,-0.88552451719484,0.352354575410815,0.286335555742067,0.504348376620899,-0.0160191057118938
"NIPAL3",0.0363913316956928,1.43264358994219,-0.0378313120967846,-0.0363913316956928,-0.263357743000491,0.138866641014224,2.57402869984025,-0.0745991675419413
"LAS1L",-0.726769285015351,0.849990263998813,-0.381995933951611,-0.415952830453429,0.10157953377259,-0.10157953377259,2.41714107705715,0.216980796220493
"ENPP4",-0.0633429844687429,0.948947304821489,-0.167342957624595,0.206834163070625,-0.239988058630363,0.0559151903493281,2.7225702541426,-0.0559151903493281
"SEMA3F",0.0717530943031756,-1.63726654019826,0.404578938620471,-1.10063374898832,0.994889235768188,-0.0262575100185614,-1.75835103137771,0.0262575100185609
"CFTR",-1.69632226860911,0.296776206975132,-0.175039112488262,-0.703524267025374,0.0300460380009584,-0.0300460380009586,1.87635916066137,0.0460227288855531
"ANKIB1",0.0783677830269671,1.17937990699681,-0.0967632412696548,0.0231335015909286,-0.258253877599555,-0.0231335015909286,2.65115813970016,-0.0792619208887427
"CYP51A1",0.280245864248039,-0.932445798722478,-0.812305238865117,-1.68485281926622,0.114742184389616,0.666067055290043,1.48587242566848,-0.114742184389616
"KRIT1",-1.71179598014501,-1.59392486477128,-0.124630632914864,-0.461883532246217,0.750632259940772,0.361948459434157,0.971825621185912,0.124630632914864
"RAD52",0.318758702065946,0.500645820086268,-0.405864756308496,0.0288299961588541,-0.0288299961588543,-0.190044243959767,2.70760907772486,-0.205938500458834
"BAD",1.89776468193084,0.473865732967175,-0.651141005225604,1.34000924378287,-0.762588347991259,0.0955434868976389,-0.797464787246898,-0.0955434868976389
"LAP3",0.427753144147604,1.67478950246584,-0.427753144147604,0.601559288812909,-0.922161366511664,-0.644331483190162,1.23548988807785,-0.900909067995083
"HS3ST1",-1.77239030336135,-2.10136275340741,0.14895019748979,0.119415832336117,0.709058224123999,0.0587139881972732,-0.0587139881972732,-0.083927868436656
"AOC1",-1.70200990294397,-1.74510202291201,0.403821328986961,-0.401854944556879,0.804789455547252,0.40185494455688,-0.714645759723481,0.44609041582733
