"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"TSPAN6",18.8348,10.7137,12.2707,9.8875,6.0214,7.073,9.4765,6.6433
"TNMD",0.7128,0.9533,0.8115,0.4404,0.3328,0.4335,0.4745,0.4199
"DPM1",60.0605,42.8634,30.8207,42.3637,38.5829,46.6492,44.4625,40.9468
"SCYL3",13.0391,11.8723,9.8063,9.6848,7.6651,10.2919,13.2026,8.9924
"C1orf112",8.4771,6.9981,4.7679,5.3955,3.7851,3.3224,10.0012,3.2439
"FGR",6.1287,5.1525,10.2913,11.5316,15.048,5.3513,6.368,5.7263
"CFH",52.7129,9.0738,18.9295,49.1886,7.5348,5.1773,7.9429,6.7855
"FUCA2",31.132,24.815,20.0981,22.8028,11.9067,15.9684,28.9445,12.8194
"GCLC",20.6938,41.8722,17.7325,17.9423,14.1706,20.1944,48.6496,18.5978
"NFYA",29.7616,37.9148,31.6875,24.3139,21.5522,27.6302,42.3147,27.4411
"STPG1",4.4628,7.2996,6.0679,4.7435,5.1831,6.4223,6.8301,4.9423
"NIPAL3",53.9288,128.0593,69.7809,54.0279,45.1087,80.1498,179.0724,58.3462
"LAS1L",12.7213,16.2417,12.5479,11.6314,12.865,12.93,17.5931,13.5618
"ENPP4",29.6341,53.1385,33.3314,39.159,27.545,39.8373,90.8083,33.5115
"SEMA3F",7.3254,3.7454,2.949,1.7809,2.5448,1.6478,1.0703,1.3965
"CFTR",2.1907,8.6984,3.1819,2.4699,2.4903,3.7327,11.2802,3.6855
"ANKIB1",60.019,101.5698,74.1649,63.464,59.2094,73.4062,151.6698,66.4571
"CYP51A1",10.7033,8.0049,5.1509,4.9321,5.1226,7.6667,8.137,5.5536
"KRIT1",5.1386,4.5359,3.6909,4.4353,4.5133,4.8325,6.5618,3.646
"RAD52",19.9074,19.2289,14.8641,16.7443,16.4074,15.7518,28.3269,14.6398
"BAD",20.5132,16.0958,15.2214,18.3514,12.6549,16.2153,10.7127,14.6948
"LAP3",53.3719,70.2596,51.562,62.166,34.6528,41.9232,57.2004,33.3602
"HS3ST1",4.6982,3.29,3.98,5.3814,3.7793,3.3808,4.4038,2.5318
"AOC1",0.9449,0.2859,0.2791,0.3434,0,0.2173,0.2544,0.0614
"WNT16",0.6125,1.3927,0.5828,1.6595,1.2341,2.3803,0.9924,2.5395
"HECW1",23.225,22.2528,22.0544,16.1547,38.0936,37.4673,4.3601,35.2721
"MAD1L1",2.5321,1.5569,1.2279,1.0189,1.3317,0.9861,1.4531,0.7179
"LASP1",115.6603,45.0045,51.2478,47.8069,28.0649,37.1653,23.4831,33.9328
"SNX11",16.369,17.834,15.6152,17.2997,12.908,14.7292,20.5046,14.7133
"TMEM176A",6.5967,12.2959,7.5988,9.1601,3.9277,5.3892,5.9926,4.0994
"M6PR",51.6536,56.6383,54.0455,62.431,33.7907,49.8203,48.5965,44.5128
"KLHL13",2.0642,4.5879,4.5,7.3845,1.9416,4.1363,2.9086,4.16
"CYP26B1",12.4831,14.9349,12.7424,14.5307,12.7928,23.2386,2.8106,24.1741
"ICA1",59.621,23.6064,28.5401,24.3894,46.0959,35.1544,10.3988,41.8499
"DBNDD1",12.191,14.7482,14.7638,14.2113,15.8535,18.2114,5.6115,18.7847
"ALS2",27.3671,32.2692,30.4422,29.4547,35.4476,37.042,23.0903,35.8902
"CASP10",17.2097,6.082,6.7379,7.4594,3.7713,3.0143,5.3353,2.3502
"CFLAR",38.4463,21.4216,19.2007,17.6546,12.3384,13.7805,20.0027,9.2942
"TFPI",48.9877,2.5594,3.1818,3.5759,0.9058,0.7959,1.1659,0.7605
"NDUFAF7",22.8527,19.9809,19.8187,21.2649,23.6538,24.56,18.8714,25.0367
"RBM5",35.7793,46.2012,34.1632,38.5898,34.5296,35.4519,63.9886,39.7535
"MTMR7",15.354,30.4332,22.0479,23.8307,18.2797,29.303,31.3642,30.626
"SLC7A2",30.28,17.2929,35.874,31.9676,13.4974,13.9565,11.9166,13.8761
"ARF5",64.1666,66.5421,65.0509,71.0345,62.2865,73.625,41.3509,79.63
"SARM1",5.8742,5.8576,4.6949,4.3379,3.7247,4.8069,3.248,4.1366
"POLDIP2",82.2015,74.1428,65.0462,61.8348,57.8817,72.2683,51.6101,68.0069
"PLXND1",97.024,56.2521,39.0135,31.8525,11.5652,21.4334,35.5428,18.7888
"AK2",32.7724,28.1466,21.6455,21.6327,18.4757,19.1737,35.1552,17.6178
"CD38",5.5546,11.3017,8.4563,6.625,2.4071,3.1193,13.0484,3.8637
"FKBP4",42.4283,45.8053,44.4186,39.3631,45.2706,46.579,40.6111,46.2871
"KDM1A",45.548,54.5948,50.3292,51.5907,49.0156,58.3717,38.0121,60.2064
"RBM6",59.7933,49.4241,52.5787,60.0116,48.9557,48.3137,57.9208,48.3109
"CAMKK1",55.219,45.2713,53.792,57.7638,50.3202,60.7114,5.9833,68.3357
"RECQL",24.8907,18.3876,16.183,21.462,11.5693,12.6985,24.4177,11.6024
"VPS50",20.3077,22.0115,19.1415,20.4977,21.1111,24.594,19.3796,26.7672
