"","C3N-02261","C3N-00958","C3N-01653","C3N-02818","C3N-00243","C3L-01279","C3N-03021","C3N-01650","C3L-02212","C3N-02440","C3N-01803","C3N-01652","C3L-01865","C3N-01903","C3L-01962","C3L-01955"
"TSPAN6",52.3677,39.7377,70.9581,44.5101,44.3751,52.6998,38.9975,52.2797,40.8255,47.8434,46.3823,42.1189,52.3324,35.5366,38.6789,30.7378
"TNMD",1.6911,3.308,3.2111,26.0627,1.5763,4.6145,4.237,9.6681,3.4552,1.4974,5.2924,9.6848,3.5454,2.1599,7.8923,1.7047
"DPM1",59.368,59.6675,75.1805,59.9206,76.605,65.4419,68.405,66.0218,57.9336,62.8687,67.3934,60.2804,70.4993,53.2381,51.2769,52.4024
"SCYL3",14.8682,11.3618,15.5624,13.5833,11.1545,14.6369,13.2285,17.7623,12.9583,12.0491,16.8419,11.4575,13.4425,11.4925,11.9375,11.5086
"C1orf112",4.1113,3.5168,3.9118,4.1946,2.8537,3.4543,3.9033,6.8889,4.1384,3.1733,4.2569,3.2688,3.341,2.403,3.3961,3.3862
"FGR",3.7824,4.8846,7.1855,11.0091,2.3966,4.9228,5.3933,13.1798,7.3388,3.7032,15.8602,3.5856,3.3413,2.2977,6.7311,2.3858
"CFH",24.9708,39.1997,29.4271,54.6784,28.4214,39.4509,33.7823,115.6427,41.6119,19.2688,57.1539,26.6282,30.6782,21.4482,21.0387,24.4522
"FUCA2",66.3001,69.6117,53.3177,58.1753,65.237,38.4153,49.9674,62.8968,61.0836,53.369,58.0927,62.4075,70.4921,59.5916,62.8646,60.7212
"GCLC",18.8139,22.2753,12.3494,20.0725,25.0807,14.0721,20.9061,21.2935,21.1199,21.4693,16.3639,22.8678,24.8078,21.0742,20.3686,20.6486
"NFYA",31.6562,27.2467,28.4915,31.6439,23.2773,28.0489,29.7135,41.168,30.8384,32.8083,43.4269,26.4249,25.6714,27.9453,30.6136,24.6559
"STPG1",4.7901,3.2796,5.2955,4.1811,2.8923,4.4236,3.9801,5.3503,4.088,3.4377,6.1799,3.1044,3.8138,4.1437,3.5315,3.833
"NIPAL3",27.9706,15.6674,56.359,19.3836,15.6715,25.7131,19.6584,23.4808,22.3866,22.5928,28.3551,17.282,18.2094,21.8103,19.619,21.0719
"LAS1L",11.2575,9.6965,9.3966,10.7995,9.0742,10.7293,8.8533,11.9216,10.0198,9.2798,10.0877,9.4795,10.0033,9.1889,9.1722,10.4004
"ENPP4",41.4752,42.9841,68.7883,32.4067,45.444,28.8435,34.6278,57.9001,37.3137,45.8469,30.9051,41.295,40.6963,30.1622,32.8966,37.0477
"SEMA3F",16.9816,10.6232,23.1242,13.7915,10.155,19.2487,14.7635,11.4456,12.916,12.7796,19.0567,11.8481,9.0361,13.2118,13.4695,16.6477
"CFTR",2.1549,3.6997,1.2395,9.4205,3.4423,2.4263,1.6774,9.7248,4.1038,4.3191,5.6047,3.4249,3.0971,3.2467,7.2091,5.5415
"ANKIB1",89.6449,78.2824,61.1591,66.5656,89.0774,66.406,90.4702,73.182,95.2026,81.7869,70.6761,97.4144,95.6906,90.4435,68.2126,69.4779
"CYP51A1",6.012,5.2345,8.2049,4.2949,4.8488,6.0313,4.0083,4.3844,5.3952,6.2927,6.8176,7.5779,6.2538,5.0533,7.2823,6.5643
"KRIT1",7.1413,6.8732,6.5285,7.5151,6.0969,5.3824,8.1842,11.1906,7.5262,7.1928,7.5882,7.2877,6.7723,6.7123,6.8227,6.503
"RAD52",19.7471,16.2646,17.5681,17.9638,13.1668,19.9992,16.6326,26.7943,18.8006,15.309,22.1583,16.354,16.9937,16.925,15.4625,16.9941
"BAD",20.8856,18.6291,21.1907,14.9025,20.6521,17.3354,12.51,19.3852,17.451,16.514,15.9767,22.5218,19.8037,19.7151,19.1073,17.7283
"LAP3",106.2548,131.7083,92.505,109.3601,156.8625,94.4719,117.9001,125.115,116.8952,143.4796,125.8372,127.8765,156.5293,110.1275,110.4916,113.6275
"HS3ST1",2.9655,2.1343,10.9762,6.2376,1.5646,3.906,2.4433,16.0446,3.0639,3.4823,18.1691,4.0073,2.0809,1.34,2.2366,1.412
"AOC1",469.7929,515.1303,237.586,368.9193,801.2323,270.5231,375.7295,98.8035,123.8091,527.6764,60.4948,697.164,566.6778,895.5757,675.1994,420.3131
"WNT16",0.4142,0.723,0.2112,0.9085,0.5059,0.8405,0.593,1.6456,0.3819,0.129,0.5425,0.1968,0.7203,0.6104,0.4087,0.2127
"HECW1",24.2932,30.7172,6.8953,20.8786,32.6861,14.7377,25.2173,6.6276,19.9581,28.2771,8.0124,29.2415,26.989,34.338,30.2413,26.4925
"MAD1L1",1.2515,1.0468,1.3111,1.5837,0.6228,1.0991,0.8753,1.3084,1.6146,0.9316,1.3685,1.1996,0.5769,1.0748,1.2668,1.188
"LASP1",55.6021,54.8699,57.6294,68.3978,50.8592,44.3846,47.3417,71.2112,51.9231,44.6711,65.1236,51.5782,46.1743,63.8161,57.377,63.1947
"SNX11",19.5774,15.6729,19.683,17.838,15.0174,15.3351,15.6717,19.0676,18.3174,17.3416,16.5567,17.8957,15.524,15.8369,18.6326,17.1719
"TMEM176A",168.6101,187.165,153.2671,107.6283,212.0926,136.5493,188.4691,111.4347,180.4772,226.4442,117.8728,242.8161,128.4942,196.7293,226.4665,156.706
"M6PR",65.389,61.2655,78.0748,77.0889,70.089,63.0118,60.1205,95.0627,67.2721,72.1017,88.0874,67.3148,77.596,56.3571,66.2281,59.2936
"KLHL13",25.2446,20.3821,22.1147,22.8967,19.8186,29.7486,16.8133,53.1324,23.3545,19.3672,41.5987,17.0321,21.6996,15.7934,17.3442,15.1085
"CYP26B1",6.0141,0.6653,8.2309,6.0281,4.295,1.2638,4.3794,3.4689,1.4011,1.2172,0.7892,3.4269,1.8752,9.595,3.7414,2.5259
"ICA1",19.2114,17.9986,24.5838,24.5788,16.5071,22.9567,17.2288,28.6987,22.1187,26.5971,24.6999,15.9529,16.3546,18.1378,24.4027,23.2231
"DBNDD1",5.594,6.7845,6.8755,7.6245,3.5826,5.8302,8.4261,12.9723,5.8927,5.8732,7.0494,7.7932,5.252,5.5372,7.2742,6.7862
"ALS2",29.961,26.9828,24.8256,27.7315,30.0835,23.9256,27.5317,31.7743,28.4796,28.3231,29.5757,26.9435,30.6906,29.2157,28.1562,27.189
"CASP10",16.0783,15.9942,16.6872,17.8743,12.1471,16.7831,13.6408,21.9326,18.059,13.8135,29.2498,12.5424,12.2249,14.6659,13.9703,10.6779
"CFLAR",52.4704,58.0055,48.7979,55.8173,35.3568,41.7036,47.6526,59.9941,58.7608,52.4896,50.8836,49.5942,41.3664,45.671,53.4637,61.5815
"TFPI",37.6444,37.5416,34.841,43.9223,29.5871,30.6628,39.2778,70.1156,45.714,36.9718,75.1854,36.3282,39.2473,35.2865,34.7681,40.2999
"NDUFAF7",21.7347,20.751,21.833,23.0358,22.8584,18.4737,21.9822,32.6079,22.1946,24.0703,24.9044,21.908,24.0545,21.093,20.2399,23.0748
"RBM5",46.1415,42.5703,43.3083,51.4508,32.5724,42.7819,42.1956,62.3195,51.0251,44.7832,52.3834,39.452,36.1004,40.8621,41.0235,43.8125
"MTMR7",4.3684,1.8324,2.6246,2.1164,2.2966,2.4168,3.1594,4.1196,4.1551,3.9194,1.9844,2.9791,3.4811,3.3937,2.2077,2.918
"SLC7A2",23.7342,30.6052,31.4287,40.348,22.349,25.6327,21.605,66.8737,30.1502,37.1191,24.2432,16.8437,25.1074,17.102,16.9974,25.3207
"ARF5",62.458,52.9286,82.9174,54.8406,57.2029,54.2701,45.1594,88.1204,57.5665,64.7048,75.3329,63.9379,58.5528,49.7308,56.6192,52.8655
"SARM1",4.2331,3.7373,3.3601,4.191,2.9939,4.2166,3.6471,4.4254,3.8577,3.9994,3.5828,3.4061,2.9161,3.4629,3.6114,4.6096
"POLDIP2",175.1668,170.8309,157.6013,133.7724,173.9372,124.4994,127.2338,91.9695,155.9907,181.2836,106.728,164.3745,175.9662,170.4452,179.1141,172.4196
"PLXND1",21.4707,15.991,17.4479,27.3056,10.0439,26.6954,17.3251,27.9087,23.9542,11.0785,25.785,15.243,13.7444,16.9812,17.8835,17.7937
"AK2",93.1098,76.82,81.0901,74.928,93.7332,70.0754,75.9891,61.8949,80.6924,88.035,72.5666,96.6525,85.9102,103.3309,82.3092,82.3993
"CD38",1.3044,3.4179,1.3573,3.0633,0.799,2.2901,1.7372,5.916,2.3635,0.4758,3.1898,1.218,1.8471,1.0025,1.621,0.4682
"FKBP4",58.6381,54.0938,72.7894,54.2297,54.3945,52.9691,51.1617,44.2849,54.4819,53.3264,53.8822,64.7685,55.0844,59.5282,66.8783,56.2282
"KDM1A",51.0067,43.3213,62.8575,52.5284,47.4584,54.115,45.8605,71.0324,49.3536,50.0306,58.7395,47.3282,50.509,47.3037,48.4016,47.3524
"RBM6",67.3396,68.578,58.513,70.3432,52.1107,63.3756,58.1604,90.5928,64.0025,67.1793,82.2069,64.3647,60.7532,62.3768,52.9476,66.1028
"CAMKK1",2.6025,1.7517,3.9766,2.7262,1.4943,3.4362,1.883,3.2033,2.9732,1.5575,3.1528,1.437,1.3672,1.0722,2.4047,2.031
"RECQL",22.4846,20.8234,33.1339,25.8085,21.0118,24.1812,21.5725,44.9958,21.6827,17.9634,28.3328,20.2947,20.8917,15.9759,16.213,20.8698
"VPS50",22.9676,19.4866,21.3658,21.7331,22.4939,20.1584,22.9837,28.4899,21.6847,20.589,23.0883,19.4237,25.3488,20.4274,18.6239,19.578
"HSPB6",0.9652,1.8881,1.6995,2.5324,0.3918,3.0728,0.3455,2.3716,1.8407,0.8547,2.2353,0.4192,0.5279,1.3869,0.98,0.4026
"ARHGAP33",3.1833,2.7848,2.0315,2.9598,2.183,3.6508,2.2929,1.9814,2.8225,2.4211,2.0791,2.1527,0.8363,2.7274,2.4175,2.9196
"NDUFAB1",100.9111,81.1142,107.7195,65.5584,104.4792,79.6252,72.0932,61.836,82.9491,97.9714,54.4316,90.1124,106.8033,85.338,88.8668,83.3993
"PDK4",53.7861,613.0324,708.521,342.0575,162.0423,107.7122,124.4871,210.6915,442.5535,783.9959,317.7552,279.5029,318.1481,104.383,605.1505,382.1814
"SLC22A16",0.1863,0.0625,0.0441,0.2741,0.0768,0.3632,0.1143,0.1847,0.058,0.2424,0.6931,0.0206,0.0776,0.204,0.2048,0.0666
"ZMYND10",2.088,1.6337,2.6548,2.11,1.221,3.2744,1.5977,2.997,1.7653,1.1293,3.8936,1.5289,1.4701,0.9656,1.4159,1.7719
"ABCB5",0.0337,0.0352,0.0186,0.4271,0.0162,0.0409,0.0483,0.2685,0.1347,0.0341,0.045,0.0174,0.0737,0.0538,0.0384,0.0562
"ARX",0.0334,0.1307,0.0277,0,0.1446,0.0911,0,0.103,0.1092,0,0,0.0774,0.0244,0.064,0.1713,0.0279
"SLC25A13",79.2767,86.4659,55.8399,77.0893,103.7356,66.3963,69.0918,49.0524,87.3665,93.1046,70.0158,84.1171,113.3309,78.116,79.864,86.388
"ST7",17.0361,17.7568,12.2278,18.5928,17.8254,14.4519,17.523,16.9159,19.2418,17.1432,14.0765,22.015,20.279,18.8992,19.1584,15.0498
"CDC27",30.0849,28.7515,35.5866,36.2135,29.0678,28.2515,28.9333,52.4907,31.2394,28.0081,38.5844,30.2447,32.0187,25.3005,28.1472,25.9625
"SLC4A1",78.0672,83.9494,82.9135,38.2535,74.2451,65.581,32.0461,23.4485,42.3696,102.3711,6.8487,59.9837,50.2099,96.8456,69.5778,118.606
"CALCR",4.4833,5.0499,3.8577,3.8631,5.1017,3.9658,4.5319,6.0004,3.3017,6.1822,3.1577,4.7553,3.1615,4.6722,5.6868,3.7196
"HCCS",22.7712,20.735,27.2908,22.3601,23.4152,22.65,20.368,24.0542,22.6374,23.3132,23.9602,22.5875,21.4929,19.3043,22.3924,20.663
"DVL2",20.0537,15.5994,19.6612,20.8372,14.6265,18.3647,14.5514,17.9292,17.4226,16.8125,19.9068,16.7376,15.55,15.0533,15.4251,18.0992
"PRSS22",3.9699,2.6284,12.3624,4.2845,4.8166,7.3805,2.5608,4.8088,3.5654,3.6642,19.0919,2.8296,2.6086,2.4656,2.9094,2.9479
"UPF1",53.0744,44.5377,40.1777,44.1895,35.5774,37.969,34.8324,31.43,46.3349,38.5236,37.3825,35.8681,31.9355,47.5641,47.9525,52.1707
"SKAP2",43.6105,40.6354,48.3201,46.6185,39.6461,42.4901,43.5922,61.985,48.7913,45.5262,56.108,40.0114,43.5575,37.5384,40.4729,35.8475
