"","","","AP-SS2L","AP-94ED","AP-9D3B","AP-UG7J","AP-5MX6","AP-7KJ6","AP-KGMR","AP-RBLG","AP-YF3B","AP-QAHT","AP-HFEA","AP-G79N","AP-U8MP","AP-MAZ4","AP-ZLDH","AP-2XNK","AP-VLXG","AP-MJ52","AP-JKPX","AP-WTXJ","AP-HMFR","AP-SJVE","AP-AGZG","AP-5JDU","AP-FX68","AP-LWHD","AP-RA2G","AP-CT3G","AP-52RG","AP-B2SL","AP-EZEX","AP-TBFQ","AP-352Q","AP-DN2V","AP-YTZ8","AP-5L2V","AP-9UHJ","AP-E98M","AP-KX5B","AP-V6UJ","AP-KXUT","AP-DM87","AP-WDKZ","AP-N8FG","AP-AJWE","AP-DT88","AP-6EWG","AP-8MWD","AP-W455","AP-D9X4","AP-4HAU","AP-9PXS","AP-A5NG","AP-D35H","AP-HKYN","AP-XSR5","AP-AAFC","AP-JDN4","AP-XVLY","AP-NMZS","AP-EFHT","AP-4M7L","AP-8PRJ","AP-4LRG","AP-3336","AP-K24D","AP-27JZ","AP-XCJX","AP-QUHC","AP-QD4Q","AP-62LT","AP-E7CU","AP-HML4","AP-DMUM","AP-RQNH","AP-EPNF","AP-B9CH","AP-67ZV","AP-JK59","AP-9LNA","AP-F595","AP-JBET","AP-3FY5","AP-MGNN","AP-WPAM","AP-2E8Q","AP-7GDN"
"NP_000025.1:s46","NA s46",NA,"NaN","NaN","0.54","NaN","NaN","-1.06","NaN","NaN","NaN","-1.31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.86","NaN","NaN","NaN","NaN","NaN","NaN","-1.03","0.19","NaN","NaN","0.52","NaN","NaN","NaN","NaN","0.05","NaN","NaN","-0.97","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.39","NaN","-0.79","0.56","0.32","NaN","NaN","NaN","NaN","NaN","NaN","-1.01","NaN","NaN","-1.19","NaN","NaN","NaN","NaN","NaN","NaN","-0.55","NaN","-0.55","1.11","-0.22","NaN","NaN","NaN","NaN"
"NP_000028.3:s1686","ANK1 s1686","ANK1","NaN","NaN","NaN","NaN","NaN","-0.36","1.32","NaN","NaN","-0.35","NaN","NaN","-1.02","NaN","NaN","0.88","NaN","NaN","-1.29","NaN","NaN","-0.15","NaN","NaN","0.76","NaN","-0.43","0.04","NaN","-0.86","NaN","NaN","NaN","NaN","NaN","NaN","-0.03","-0.15","NaN","-0.92","0.82","NaN","-2.15","NaN","NaN","NaN","NaN","NaN","NaN","-1.34","NaN","NaN","NaN","NaN","-1.02","NaN","0.36","NaN","NaN","-0.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.75","-0.19","NaN","-0.55","NaN","NaN","NaN","NaN","NaN","-0.84","NaN","1.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.06"
"NP_000028.3:s960","ANK1 s960","ANK1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.47","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.41","NaN","NaN","NaN","NaN","NaN","-0.01","NaN","NaN","-0.27","-0.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_000028.3:t1378","ANK1 t1378","ANK1","NaN","-0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.3","0.01","-0.32","NaN","NaN","-3.28","NaN","NaN","NaN","NaN","0.98","NaN","NaN","0.87","NaN","-0.52","NaN","NaN","NaN","NaN","NaN","NaN","-1.4","-0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","NaN","NaN","NaN","NaN","-0.04","NaN","NaN","NaN","NaN","-1.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.11","NaN","NaN","NaN","NaN","-0.23","NaN","NaN","NaN","-0.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.25","NaN","NaN"
"NP_000080.2:s1104y1108","COL1A2 s1104y1108","COL1A2","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.13","NaN","0.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.47"
"NP_000081.1:s1039","COL3A1 s1039","COL3A1","-0.34","NaN","NaN","NaN","0.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.24","NaN","NaN","0.08","NaN","-0.1","NaN","NaN","0.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.03","NaN","NaN","NaN","-0.53","NaN","NaN","NaN","NaN","-0.8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_000215.1:s100","KRT18 s100","KRT18","NaN","NaN","NaN","NaN","NaN","0.7","NaN","NaN","NaN","-0.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.05","NaN","NaN","NaN","NaN","NaN","NaN","0.19","-1.26","NaN","NaN","-0.8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_000217.2:s166","KRT9 s166","KRT9","NaN","NaN","NaN","NaN","NaN","NaN","-0.8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","0.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.55","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.49","NaN","-1.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.16"
"NP_000258.1:s2494","NF1 s2494","NF1","NaN","NaN","NaN","NaN","NaN","NaN","-1.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.12","NaN","NaN","0.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.32","NaN","-0.99","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.02"
"NP_000258.1:s2522","NF1 s2522","NF1","NaN","NaN","0.17","0.7","NaN","NaN","NaN","NaN","NaN","NaN","-0.03","NaN","0.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.29","NaN","-0.95","-0.3","NaN","-0.9","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.47","NaN","NaN","NaN","NaN","NaN","NaN","-1.03","-0.26","-2.12","-0.9","NaN","NaN","-1.25","0.55","NaN","NaN","NaN","NaN","1.18","-0.22","NaN","0.04","NaN","NaN","1.04","0.19","NaN","0.48","-0.51","NaN","NaN","-0.08","NaN","NaN","NaN","0.33","NaN","NaN","NaN","NaN","0.53","NaN","NaN","NaN","0.11","0.81","-0.5","NaN","NaN","NaN","NaN"
